datetime;price;hour
2020-01-01 00:00:00;41.88;0
2020-01-01 01:00:00;38.6;1
2020-01-01 02:00:00;36.55;2
2020-01-01 03:00:00;32.32;3
2020-01-01 04:00:00;30.85;4
2020-01-01 05:00:00;30.14;5
2020-01-01 06:00:00;30.17;6
2020-01-01 07:00:00;30.0;7
2020-01-01 08:00:00;30.65;8
2020-01-01 09:00:00;30.65;9
2020-01-01 10:00:00;30.27;10
2020-01-01 11:00:00;30.34;11
2020-01-01 12:00:00;30.99;12
2020-01-01 13:00:00;30.04;13
2020-01-01 14:00:00;30.75;14
2020-01-01 15:00:00;32.11;15
2020-01-01 16:00:00;35.98;16
2020-01-01 17:00:00;40.4;17
2020-01-01 18:00:00;44.05;18
2020-01-01 19:00:00;46.16;19
2020-01-01 20:00:00;44.02;20
2020-01-01 21:00:00;45.6;21
2020-01-01 22:00:00;42.9;22
2020-01-01 23:00:00;37.55;23
2020-01-02 00:00:00;35.4;0
2020-01-02 01:00:00;31.98;1
2020-01-02 02:00:00;30.5;2
2020-01-02 03:00:00;28.79;3
2020-01-02 04:00:00;28.42;4
2020-01-02 05:00:00;28.75;5
2020-01-02 06:00:00;34.16;6
2020-01-02 07:00:00;42.07;7
2020-01-02 08:00:00;44.89;8
2020-01-02 09:00:00;45.26;9
2020-01-02 10:00:00;45.57;10
2020-01-02 11:00:00;45.09;11
2020-01-02 12:00:00;45.16;12
2020-01-02 13:00:00;44.9;13
2020-01-02 14:00:00;44.06;14
2020-01-02 15:00:00;43.94;15
2020-01-02 16:00:00;44.37;16
2020-01-02 17:00:00;46.05;17
2020-01-02 18:00:00;46.72;18
2020-01-02 19:00:00;46.11;19
2020-01-02 20:00:00;43.7;20
2020-01-02 21:00:00;42.0;21
2020-01-02 22:00:00;38.6;22
2020-01-02 23:00:00;33.39;23
2020-01-03 00:00:00;32.05;0
2020-01-03 01:00:00;30.75;1
2020-01-03 02:00:00;29.97;2
2020-01-03 03:00:00;29.8;3
2020-01-03 04:00:00;29.74;4
2020-01-03 05:00:00;29.87;5
2020-01-03 06:00:00;31.21;6
2020-01-03 07:00:00;36.73;7
2020-01-03 08:00:00;42.9;8
2020-01-03 09:00:00;46.0;9
2020-01-03 10:00:00;47.23;10
2020-01-03 11:00:00;46.03;11
2020-01-03 12:00:00;44.9;12
2020-01-03 13:00:00;44.44;13
2020-01-03 14:00:00;41.19;14
2020-01-03 15:00:00;39.5;15
2020-01-03 16:00:00;39.5;16
2020-01-03 17:00:00;43.51;17
2020-01-03 18:00:00;45.2;18
2020-01-03 19:00:00;46.9;19
2020-01-03 20:00:00;46.23;20
2020-01-03 21:00:00;44.5;21
2020-01-03 22:00:00;40.5;22
2020-01-03 23:00:00;39.5;23
2020-01-04 00:00:00;38.01;0
2020-01-04 01:00:00;32.05;1
2020-01-04 02:00:00;31.0;2
2020-01-04 03:00:00;30.2;3
2020-01-04 04:00:00;29.85;4
2020-01-04 05:00:00;29.84;5
2020-01-04 06:00:00;30.1;6
2020-01-04 07:00:00;30.75;7
2020-01-04 08:00:00;31.83;8
2020-01-04 09:00:00;36.67;9
2020-01-04 10:00:00;39.57;10
2020-01-04 11:00:00;36.11;11
2020-01-04 12:00:00;34.77;12
2020-01-04 13:00:00;32.07;13
2020-01-04 14:00:00;31.83;14
2020-01-04 15:00:00;31.95;15
2020-01-04 16:00:00;32.25;16
2020-01-04 17:00:00;41.81;17
2020-01-04 18:00:00;44.24;18
2020-01-04 19:00:00;44.0;19
2020-01-04 20:00:00;44.44;20
2020-01-04 21:00:00;44.43;21
2020-01-04 22:00:00;40.38;22
2020-01-04 23:00:00;37.95;23
2020-01-05 00:00:00;33.1;0
2020-01-05 01:00:00;32.28;1
2020-01-05 02:00:00;31.18;2
2020-01-05 03:00:00;30.1;3
2020-01-05 04:00:00;29.96;4
2020-01-05 05:00:00;29.88;5
2020-01-05 06:00:00;30.38;6
2020-01-05 07:00:00;31.15;7
2020-01-05 08:00:00;32.09;8
2020-01-05 09:00:00;34.27;9
2020-01-05 10:00:00;37.53;10
2020-01-05 11:00:00;38.99;11
2020-01-05 12:00:00;38.15;12
2020-01-05 13:00:00;35.37;13
2020-01-05 14:00:00;34.44;14
2020-01-05 15:00:00;36.1;15
2020-01-05 16:00:00;40.59;16
2020-01-05 17:00:00;44.68;17
2020-01-05 18:00:00;46.16;18
2020-01-05 19:00:00;48.53;19
2020-01-05 20:00:00;52.48;20
2020-01-05 21:00:00;53.29;21
2020-01-05 22:00:00;49.5;22
2020-01-05 23:00:00;46.01;23
2020-01-06 00:00:00;47.85;0
2020-01-06 01:00:00;41.48;1
2020-01-06 02:00:00;34.0;2
2020-01-06 03:00:00;31.92;3
2020-01-06 04:00:00;31.75;4
2020-01-06 05:00:00;31.5;5
2020-01-06 06:00:00;33.18;6
2020-01-06 07:00:00;43.13;7
2020-01-06 08:00:00;44.52;8
2020-01-06 09:00:00;44.96;9
2020-01-06 10:00:00;44.0;10
2020-01-06 11:00:00;42.46;11
2020-01-06 12:00:00;41.3;12
2020-01-06 13:00:00;40.51;13
2020-01-06 14:00:00;41.22;14
2020-01-06 15:00:00;43.28;15
2020-01-06 16:00:00;43.68;16
2020-01-06 17:00:00;47.9;17
2020-01-06 18:00:00;48.91;18
2020-01-06 19:00:00;49.01;19
2020-01-06 20:00:00;48.0;20
2020-01-06 21:00:00;48.0;21
2020-01-06 22:00:00;45.42;22
2020-01-06 23:00:00;44.01;23
2020-01-07 00:00:00;42.07;0
2020-01-07 01:00:00;36.49;1
2020-01-07 02:00:00;33.67;2
2020-01-07 03:00:00;33.01;3
2020-01-07 04:00:00;33.01;4
2020-01-07 05:00:00;36.07;5
2020-01-07 06:00:00;47.75;6
2020-01-07 07:00:00;53.68;7
2020-01-07 08:00:00;56.26;8
2020-01-07 09:00:00;54.87;9
2020-01-07 10:00:00;53.68;10
2020-01-07 11:00:00;52.17;11
2020-01-07 12:00:00;50.81;12
2020-01-07 13:00:00;50.31;13
2020-01-07 14:00:00;49.61;14
2020-01-07 15:00:00;48.44;15
2020-01-07 16:00:00;49.01;16
2020-01-07 17:00:00;49.77;17
2020-01-07 18:00:00;50.81;18
2020-01-07 19:00:00;51.9;19
2020-01-07 20:00:00;52.48;20
2020-01-07 21:00:00;51.0;21
2020-01-07 22:00:00;47.0;22
2020-01-07 23:00:00;44.43;23
2020-01-08 00:00:00;42.0;0
2020-01-08 01:00:00;37.48;1
2020-01-08 02:00:00;36.07;2
2020-01-08 03:00:00;34.41;3
2020-01-08 04:00:00;33.07;4
2020-01-08 05:00:00;36.11;5
2020-01-08 06:00:00;39.77;6
2020-01-08 07:00:00;48.42;7
2020-01-08 08:00:00;51.65;8
2020-01-08 09:00:00;52.6;9
2020-01-08 10:00:00;52.0;10
2020-01-08 11:00:00;50.81;11
2020-01-08 12:00:00;49.67;12
2020-01-08 13:00:00;49.17;13
2020-01-08 14:00:00;47.1;14
2020-01-08 15:00:00;46.33;15
2020-01-08 16:00:00;49.16;16
2020-01-08 17:00:00;53.53;17
2020-01-08 18:00:00;55.92;18
2020-01-08 19:00:00;55.09;19
2020-01-08 20:00:00;54.99;20
2020-01-08 21:00:00;53.67;21
2020-01-08 22:00:00;49.16;22
2020-01-08 23:00:00;45.17;23
2020-01-09 00:00:00;46.55;0
2020-01-09 01:00:00;38.01;1
2020-01-09 02:00:00;34.89;2
2020-01-09 03:00:00;33.7;3
2020-01-09 04:00:00;33.56;4
2020-01-09 05:00:00;34.0;5
2020-01-09 06:00:00;37.51;6
2020-01-09 07:00:00;48.45;7
2020-01-09 08:00:00;49.23;8
2020-01-09 09:00:00;51.49;9
2020-01-09 10:00:00;49.67;10
2020-01-09 11:00:00;48.33;11
2020-01-09 12:00:00;44.41;12
2020-01-09 13:00:00;44.9;13
2020-01-09 14:00:00;39.81;14
2020-01-09 15:00:00;39.0;15
2020-01-09 16:00:00;41.66;16
2020-01-09 17:00:00;46.89;17
2020-01-09 18:00:00;51.89;18
2020-01-09 19:00:00;52.98;19
2020-01-09 20:00:00;53.31;20
2020-01-09 21:00:00;52.05;21
2020-01-09 22:00:00;48.49;22
2020-01-09 23:00:00;40.16;23
2020-01-10 00:00:00;34.13;0
2020-01-10 01:00:00;32.7;1
2020-01-10 02:00:00;31.0;2
2020-01-10 03:00:00;27.98;3
2020-01-10 04:00:00;27.65;4
2020-01-10 05:00:00;29.38;5
2020-01-10 06:00:00;32.0;6
2020-01-10 07:00:00;43.66;7
2020-01-10 08:00:00;47.4;8
2020-01-10 09:00:00;48.73;9
2020-01-10 10:00:00;47.3;10
2020-01-10 11:00:00;44.2;11
2020-01-10 12:00:00;41.6;12
2020-01-10 13:00:00;38.01;13
2020-01-10 14:00:00;36.21;14
2020-01-10 15:00:00;36.27;15
2020-01-10 16:00:00;40.62;16
2020-01-10 17:00:00;47.3;17
2020-01-10 18:00:00;49.97;18
2020-01-10 19:00:00;50.01;19
2020-01-10 20:00:00;50.85;20
2020-01-10 21:00:00;49.89;21
2020-01-10 22:00:00;46.8;22
2020-01-10 23:00:00;40.0;23
2020-01-11 00:00:00;42.94;0
2020-01-11 01:00:00;37.2;1
2020-01-11 02:00:00;34.77;2
2020-01-11 03:00:00;34.18;3
2020-01-11 04:00:00;34.13;4
2020-01-11 05:00:00;34.18;5
2020-01-11 06:00:00;34.4;6
2020-01-11 07:00:00;34.51;7
2020-01-11 08:00:00;35.68;8
2020-01-11 09:00:00;40.0;9
2020-01-11 10:00:00;42.61;10
2020-01-11 11:00:00;40.01;11
2020-01-11 12:00:00;38.6;12
2020-01-11 13:00:00;38.97;13
2020-01-11 14:00:00;38.97;14
