DATE;CONCEPT;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24;H25
2021-01-01;PRICE_SP;50.87;48.19;44.68;38.5;36.8;36.55;36.6;36.55;36.55;36.55;37.55;37.55;37.55;37.55;36.6;35.5;36.0;38.5;52.01;55.16;57.4;53.86;53.45;49.72;
2021-01-02;PRICE_SP;46.69;42.43;40.1;39.11;37.55;37.7;39.6;43.34;48.45;51.6;52.0;51.25;50.56;50.57;50.57;48.45;50.25;54.23;58.65;60.43;60.03;55.03;52.25;48.45;
2021-01-03;PRICE_SP;46.11;43.0;39.55;37.44;35.64;35.5;36.14;36.97;38.92;44.49;49.0;50.3;48.0;46.64;44.01;41.27;49.92;55.16;59.29;61.09;60.0;59.4;55.36;53.06;
2021-01-04;PRICE_SP;50.23;47.01;43.79;41.65;41.62;44.5;56.0;62.0;64.84;68.25;65.97;63.93;63.94;63.94;61.97;62.45;63.9;67.02;71.05;72.6;70.0;66.0;62.48;61.25;
2021-01-05;PRICE_SP;64.68;56.25;51.86;50.91;50.56;51.25;58.45;68.3;70.41;75.0;73.48;72.31;71.35;72.52;69.75;68.29;69.75;71.9;80.0;80.0;75.99;75.39;72.69;70.0;
2021-01-06;PRICE_SP;69.02;67.54;60.39;55.75;55.16;53.51;55.18;67.61;70.0;73.54;75.95;77.18;77.01;73.79;73.02;70.89;72.85;78.0;83.35;90.0;79.6;75.4;72.1;67.54;
2021-01-07;PRICE_SP;77.0;65.85;63.78;59.31;58.0;60.65;65.0;83.98;95.02;99.0;100.0;100.0;100.0;100.0;100.0;99.85;97.85;100.0;106.95;108.97;101.85;101.17;100.0;90.0;
2021-01-08;PRICE_SP;95.98;77.93;69.55;65.0;60.0;61.1;69.51;86.93;103.54;110.45;110.0;110.45;110.0;110.0;107.75;100.98;100.36;110.0;113.37;114.89;110.0;110.0;97.45;74.49;
2021-01-09;PRICE_SP;70.17;61.64;55.96;51.88;50.25;50.25;51.39;55.62;60.39;72.03;92.01;95.98;75.02;75.03;76.64;72.85;75.5;100.0;114.89;120.0;121.24;120.69;115.0;101.41;
2021-01-10;PRICE_SP;62.0;55.75;53.14;49.03;48.45;49.07;50.87;50.23;51.6;57.43;60.9;61.53;60.39;56.41;56.99;56.41;56.52;62.6;95.0;107.75;110.29;110.0;100.36;67.78;
