,datetime,value
0,2024-01-01 01:00:00,111.11
1,2024-01-01 02:00:00,110.77
2,2024-01-01 03:00:00,109.28
3,2024-01-01 04:00:00,110.16
4,2024-01-01 05:00:00,111.47
5,2024-01-01 06:00:00,109.95
6,2024-01-01 07:00:00,106.89
7,2024-01-01 08:00:00,107.31
8,2024-01-01 09:00:00,103.25
9,2024-01-01 10:00:00,76.42
10,2024-01-01 11:00:00,47.6
11,2024-01-01 12:00:00,46.4
12,2024-01-01 13:00:00,44.73
13,2024-01-01 14:00:00,44.17
14,2024-01-01 15:00:00,51.29
15,2024-01-01 16:00:00,68.26
16,2024-01-01 17:00:00,88.6
17,2024-01-01 18:00:00,96.15
18,2024-01-01 19:00:00,103.34
19,2024-01-01 20:00:00,110.1
20,2024-01-01 21:00:00,110.04
21,2024-01-01 22:00:00,94.09
22,2024-01-01 23:00:00,88.48
23,2024-01-02 00:00:00,91.46
24,2024-01-02 01:00:00,76.88
25,2024-01-02 02:00:00,56.3
26,2024-01-02 03:00:00,68.42
27,2024-01-02 04:00:00,63.93
28,2024-01-02 05:00:00,67.19
29,2024-01-02 06:00:00,89.71
30,2024-01-02 07:00:00,93.24
31,2024-01-02 08:00:00,125.91
32,2024-01-02 09:00:00,122.36
33,2024-01-02 10:00:00,166.54
34,2024-01-02 11:00:00,168.85
35,2024-01-02 12:00:00,160.32
36,2024-01-02 13:00:00,157.66
37,2024-01-02 14:00:00,108.08
38,2024-01-02 15:00:00,106.14
39,2024-01-02 16:00:00,109.95
40,2024-01-02 17:00:00,122.86
41,2024-01-02 18:00:00,178.28
42,2024-01-02 19:00:00,183.55
43,2024-01-02 20:00:00,178.35
44,2024-01-02 21:00:00,173.51
45,2024-01-02 22:00:00,115.47
46,2024-01-02 23:00:00,106.55
47,2024-01-03 00:00:00,43.14
48,2024-01-03 01:00:00,39.37
49,2024-01-03 02:00:00,40.27
50,2024-01-03 03:00:00,39.27
51,2024-01-03 04:00:00,39.72
52,2024-01-03 05:00:00,38.3
53,2024-01-03 06:00:00,40.71
54,2024-01-03 07:00:00,88.47
