datetime,value
2022-01-01 00:00:00+01:00,204.51
2022-01-01 01:00:00+01:00,171.35
2022-01-01 02:00:00+01:00,172.7
2022-01-01 03:00:00+01:00,156.07
2022-01-01 04:00:00+01:00,159.08
2022-01-01 05:00:00+01:00,157.28
2022-01-01 06:00:00+01:00,158.87
2022-01-01 07:00:00+01:00,157.58
2022-01-01 08:00:00+01:00,156.18
2022-01-01 09:00:00+01:00,118.96
2022-01-01 10:00:00+01:00,122.06
2022-01-01 11:00:00+01:00,127.97
2022-01-01 12:00:00+01:00,139.9
2022-01-01 13:00:00+01:00,141.95
2022-01-01 14:00:00+01:00,143.48
2022-01-01 15:00:00+01:00,147.69
2022-01-01 16:00:00+01:00,172.14
2022-01-01 17:00:00+01:00,212.24
2022-01-01 18:00:00+01:00,240.74
2022-01-01 19:00:00+01:00,244.33
2022-01-01 20:00:00+01:00,247.11
2022-01-01 21:00:00+01:00,248.38
2022-01-01 22:00:00+01:00,248.88
2022-01-01 23:00:00+01:00,229.1
2022-01-02 00:00:00+01:00,186.21
2022-01-02 01:00:00+01:00,168.59
2022-01-02 02:00:00+01:00,164.36
2022-01-02 03:00:00+01:00,168.8
2022-01-02 04:00:00+01:00,173.15
2022-01-02 05:00:00+01:00,167.53
2022-01-02 06:00:00+01:00,170.81
2022-01-02 07:00:00+01:00,183.78
2022-01-02 08:00:00+01:00,165.48
2022-01-02 09:00:00+01:00,160.64
2022-01-02 10:00:00+01:00,153.62
2022-01-02 11:00:00+01:00,141.37
2022-01-02 12:00:00+01:00,141.13
2022-01-02 13:00:00+01:00,147.85
2022-01-02 14:00:00+01:00,154.49
2022-01-02 15:00:00+01:00,148.14
2022-01-02 16:00:00+01:00,159.93
2022-01-02 17:00:00+01:00,210.37
2022-01-02 18:00:00+01:00,252.85
2022-01-02 19:00:00+01:00,255.34
2022-01-02 20:00:00+01:00,267.48
2022-01-02 21:00:00+01:00,268.11
2022-01-02 22:00:00+01:00,247.7
2022-01-02 23:00:00+01:00,232.27
2022-01-03 00:00:00+01:00,237.41
2022-01-03 01:00:00+01:00,215.14
2022-01-03 02:00:00+01:00,208.71
2022-01-03 03:00:00+01:00,203.75
2022-01-03 04:00:00+01:00,196.49
2022-01-03 05:00:00+01:00,200.68
2022-01-03 06:00:00+01:00,202.87
2022-01-03 07:00:00+01:00,206.64
2022-01-03 08:00:00+01:00,265.11
2022-01-03 09:00:00+01:00,257.98
2022-01-03 10:00:00+01:00,229.55
2022-01-03 11:00:00+01:00,288.37
2022-01-03 12:00:00+01:00,284.07
2022-01-03 13:00:00+01:00,276.19
2022-01-03 14:00:00+01:00,189.77
2022-01-03 15:00:00+01:00,173.26
2022-01-03 16:00:00+01:00,190.3
2022-01-03 17:00:00+01:00,217.17
2022-01-03 18:00:00+01:00,250.45
