value;datetime
23001.0;2019-12-31 23:00:00
22253.667;2020-01-01 00:00:00
20999.5;2020-01-01 01:00:00
19784.167;2020-01-01 02:00:00
18997.333;2020-01-01 03:00:00
18710.333;2020-01-01 04:00:00
18885.667;2020-01-01 05:00:00
19302.0;2020-01-01 06:00:00
19287.667;2020-01-01 07:00:00
19899.667;2020-01-01 08:00:00
21637.0;2020-01-01 09:00:00
23107.167;2020-01-01 10:00:00
23720.167;2020-01-01 11:00:00
24275.833;2020-01-01 12:00:00
24350.833;2020-01-01 13:00:00
23157.167;2020-01-01 14:00:00
22604.667;2020-01-01 15:00:00
22986.0;2020-01-01 16:00:00
25161.333;2020-01-01 17:00:00
26528.167;2020-01-01 18:00:00
27496.5;2020-01-01 19:00:00
27870.5;2020-01-01 20:00:00
27090.167;2020-01-01 21:00:00
24993.667;2020-01-01 22:00:00
22615.333;2020-01-01 23:00:00
20667.5;2020-01-02 00:00:00
19422.167;2020-01-02 01:00:00
18807.167;2020-01-02 02:00:00
18822.0;2020-01-02 03:00:00
19518.333;2020-01-02 04:00:00
22002.5;2020-01-02 05:00:00
25465.5;2020-01-02 06:00:00
28810.0;2020-01-02 07:00:00
31476.833;2020-01-02 08:00:00
33192.0;2020-01-02 09:00:00
33675.167;2020-01-02 10:00:00
33500.0;2020-01-02 11:00:00
33505.833;2020-01-02 12:00:00
32833.5;2020-01-02 13:00:00
31808.167;2020-01-02 14:00:00
31381.167;2020-01-02 15:00:00
31532.667;2020-01-02 16:00:00
33000.0;2020-01-02 17:00:00
33614.167;2020-01-02 18:00:00
33947.5;2020-01-02 19:00:00
33800.833;2020-01-02 20:00:00
31766.167;2020-01-02 21:00:00
28921.333;2020-01-02 22:00:00
26196.0;2020-01-02 23:00:00
23987.333;2020-01-03 00:00:00
22411.167;2020-01-03 01:00:00
21729.167;2020-01-03 02:00:00
21511.0;2020-01-03 03:00:00
22048.5;2020-01-03 04:00:00
24136.333;2020-01-03 05:00:00
27435.5;2020-01-03 06:00:00
30397.167;2020-01-03 07:00:00
32871.167;2020-01-03 08:00:00
34368.5;2020-01-03 09:00:00
34686.0;2020-01-03 10:00:00
34305.0;2020-01-03 11:00:00
34228.333;2020-01-03 12:00:00
33423.167;2020-01-03 13:00:00
32192.5;2020-01-03 14:00:00
31586.0;2020-01-03 15:00:00
31470.833;2020-01-03 16:00:00
32895.833;2020-01-03 17:00:00
33470.0;2020-01-03 18:00:00
33745.667;2020-01-03 19:00:00
33299.833;2020-01-03 20:00:00
31487.667;2020-01-03 21:00:00
28985.0;2020-01-03 22:00:00
26781.667;2020-01-03 23:00:00
24546.833;2020-01-04 00:00:00
22997.167;2020-01-04 01:00:00
22096.167;2020-01-04 02:00:00
21755.667;2020-01-04 03:00:00
21717.667;2020-01-04 04:00:00
22343.0;2020-01-04 05:00:00
23706.167;2020-01-04 06:00:00
25350.0;2020-01-04 07:00:00
27698.0;2020-01-04 08:00:00
29796.0;2020-01-04 09:00:00
30537.333;2020-01-04 10:00:00
30125.333;2020-01-04 11:00:00
30084.667;2020-01-04 12:00:00
29870.833;2020-01-04 13:00:00
28887.167;2020-01-04 14:00:00
27997.667;2020-01-04 15:00:00
27856.667;2020-01-04 16:00:00
29725.0;2020-01-04 17:00:00
30744.667;2020-01-04 18:00:00
31387.833;2020-01-04 19:00:00
31538.5;2020-01-04 20:00:00
30358.667;2020-01-04 21:00:00
28432.667;2020-01-04 22:00:00
26227.667;2020-01-04 23:00:00
23967.833;2020-01-05 00:00:00
22389.667;2020-01-05 01:00:00
21473.167;2020-01-05 02:00:00
20934.0;2020-01-05 03:00:00
20844.167;2020-01-05 04:00:00
21436.0;2020-01-05 05:00:00
22281.5;2020-01-05 06:00:00
23160.5;2020-01-05 07:00:00
25127.667;2020-01-05 08:00:00
27566.5;2020-01-05 09:00:00
28574.0;2020-01-05 10:00:00
28574.5;2020-01-05 11:00:00
28657.333;2020-01-05 12:00:00
28717.5;2020-01-05 13:00:00
27409.333;2020-01-05 14:00:00
26475.333;2020-01-05 15:00:00
26127.833;2020-01-05 16:00:00
27527.0;2020-01-05 17:00:00
28071.167;2020-01-05 18:00:00
28799.333;2020-01-05 19:00:00
29348.5;2020-01-05 20:00:00
28881.5;2020-01-05 21:00:00
27420.0;2020-01-05 22:00:00
25376.333;2020-01-05 23:00:00
23289.0;2020-01-06 00:00:00
21634.0;2020-01-06 01:00:00
20699.333;2020-01-06 02:00:00
20384.167;2020-01-06 03:00:00
20487.0;2020-01-06 04:00:00
20993.833;2020-01-06 05:00:00
21898.667;2020-01-06 06:00:00
22355.667;2020-01-06 07:00:00
24081.167;2020-01-06 08:00:00
26001.167;2020-01-06 09:00:00
26851.167;2020-01-06 10:00:00
26633.5;2020-01-06 11:00:00
26659.333;2020-01-06 12:00:00
26280.333;2020-01-06 13:00:00
25008.5;2020-01-06 14:00:00
24527.5;2020-01-06 15:00:00
24927.833;2020-01-06 16:00:00
27093.0;2020-01-06 17:00:00
28780.333;2020-01-06 18:00:00
29724.833;2020-01-06 19:00:00
30217.333;2020-01-06 20:00:00
29561.833;2020-01-06 21:00:00
27341.0;2020-01-06 22:00:00
25078.167;2020-01-06 23:00:00
23017.167;2020-01-07 00:00:00
21816.833;2020-01-07 01:00:00
21424.5;2020-01-07 02:00:00
21406.0;2020-01-07 03:00:00
22222.0;2020-01-07 04:00:00
25175.833;2020-01-07 05:00:00
29641.167;2020-01-07 06:00:00
