id;value;datetime
1293;23001;2020-01-01T00:00:00+01:00
1293;22.253.667;2020-01-01T01:00:00+01:00
1293;20999.5;2020-01-01T02:00:00+01:00
1293;19.784.167;2020-01-01T03:00:00+01:00
1293;18.997.333;2020-01-01T04:00:00+01:00
1293;18.710.333;2020-01-01T05:00:00+01:00
1293;18.885.667;2020-01-01T06:00:00+01:00
1293;19302;2020-01-01T07:00:00+01:00
1293;19.287.667;2020-01-01T08:00:00+01:00
1293;19.899.667;2020-01-01T09:00:00+01:00
1293;21637;2020-01-01T10:00:00+01:00
1293;23.107.167;2020-01-01T11:00:00+01:00
1293;23.720.167;2020-01-01T12:00:00+01:00
1293;24.275.833;2020-01-01T13:00:00+01:00
1293;24.350.833;2020-01-01T14:00:00+01:00
1293;23.157.167;2020-01-01T15:00:00+01:00
1293;22.604.667;2020-01-01T16:00:00+01:00
1293;22986;2020-01-01T17:00:00+01:00
1293;25.161.333;2020-01-01T18:00:00+01:00
1293;26.528.167;2020-01-01T19:00:00+01:00
1293;27496.5;2020-01-01T20:00:00+01:00
1293;27870.5;2020-01-01T21:00:00+01:00
1293;27.090.167;2020-01-01T22:00:00+01:00
1293;24.993.667;2020-01-01T23:00:00+01:00
1293;22.615.333;2020-01-02T00:00:00+01:00
1293;20667.5;2020-01-02T01:00:00+01:00
1293;19.422.167;2020-01-02T02:00:00+01:00
1293;18.807.167;2020-01-02T03:00:00+01:00
1293;18822;2020-01-02T04:00:00+01:00
1293;19.518.333;2020-01-02T05:00:00+01:00
1293;22002.5;2020-01-02T06:00:00+01:00
1293;25465.5;2020-01-02T07:00:00+01:00
1293;28810;2020-01-02T08:00:00+01:00
1293;31.476.833;2020-01-02T09:00:00+01:00
1293;33192;2020-01-02T10:00:00+01:00
1293;33.675.167;2020-01-02T11:00:00+01:00
1293;33500;2020-01-02T12:00:00+01:00
1293;33.505.833;2020-01-02T13:00:00+01:00
1293;32833.5;2020-01-02T14:00:00+01:00
1293;31.808.167;2020-01-02T15:00:00+01:00
1293;31.381.167;2020-01-02T16:00:00+01:00
1293;31.532.667;2020-01-02T17:00:00+01:00
1293;33000;2020-01-02T18:00:00+01:00
1293;33.614.167;2020-01-02T19:00:00+01:00
1293;33947.5;2020-01-02T20:00:00+01:00
1293;33.800.833;2020-01-02T21:00:00+01:00
1293;31.766.167;2020-01-02T22:00:00+01:00
1293;28.921.333;2020-01-02T23:00:00+01:00
1293;26196;2020-01-03T00:00:00+01:00
1293;23.987.333;2020-01-03T01:00:00+01:00
1293;22.411.167;2020-01-03T02:00:00+01:00
1293;21.729.167;2020-01-03T03:00:00+01:00
1293;21511;2020-01-03T04:00:00+01:00
1293;22048.5;2020-01-03T05:00:00+01:00
1293;24.136.333;2020-01-03T06:00:00+01:00
1293;27435.5;2020-01-03T07:00:00+01:00
1293;30.397.167;2020-01-03T08:00:00+01:00
1293;32.871.167;2020-01-03T09:00:00+01:00
1293;34368.5;2020-01-03T10:00:00+01:00
1293;34686;2020-01-03T11:00:00+01:00
1293;34305;2020-01-03T12:00:00+01:00
1293;34.228.333;2020-01-03T13:00:00+01:00
1293;33.423.167;2020-01-03T14:00:00+01:00
1293;32192.5;2020-01-03T15:00:00+01:00
1293;31586;2020-01-03T16:00:00+01:00
1293;31.470.833;2020-01-03T17:00:00+01:00
1293;32.895.833;2020-01-03T18:00:00+01:00
1293;33470;2020-01-03T19:00:00+01:00
1293;33.745.667;2020-01-03T20:00:00+01:00
1293;33.299.833;2020-01-03T21:00:00+01:00
1293;31.487.667;2020-01-03T22:00:00+01:00
1293;28985;2020-01-03T23:00:00+01:00
1293;26.781.667;2020-01-04T00:00:00+01:00
1293;24.546.833;2020-01-04T01:00:00+01:00
1293;22.997.167;2020-01-04T02:00:00+01:00
1293;22.096.167;2020-01-04T03:00:00+01:00
1293;21.755.667;2020-01-04T04:00:00+01:00
1293;21.717.667;2020-01-04T05:00:00+01:00
1293;22343;2020-01-04T06:00:00+01:00
