id;name;geoid;geoname;value;datetime
10195;Generación medida total tipo producción;;;25760.414;2020-05-01T00:00:00+02:00
10195;Generación medida total tipo producción;;;25682.988;2020-05-01T01:00:00+02:00
10195;Generación medida total tipo producción;;;24518.409;2020-05-01T02:00:00+02:00
10195;Generación medida total tipo producción;;;24162.339;2020-05-01T03:00:00+02:00
10195;Generación medida total tipo producción;;;23604.765;2020-05-01T04:00:00+02:00
10195;Generación medida total tipo producción;;;23432.821;2020-05-01T05:00:00+02:00
10195;Generación medida total tipo producción;;;23266.808;2020-05-01T06:00:00+02:00
10195;Generación medida total tipo producción;;;22563.173;2020-05-01T07:00:00+02:00
10195;Generación medida total tipo producción;;;23843.708;2020-05-01T08:00:00+02:00
10195;Generación medida total tipo producción;;;26168.032;2020-05-01T09:00:00+02:00
10195;Generación medida total tipo producción;;;27401.913;2020-05-01T10:00:00+02:00
10195;Generación medida total tipo producción;;;28444.793;2020-05-01T11:00:00+02:00
10195;Generación medida total tipo producción;;;30629.119;2020-05-01T12:00:00+02:00
10195;Generación medida total tipo producción;;;30828.437;2020-05-01T13:00:00+02:00
10195;Generación medida total tipo producción;;;27854.99;2020-05-01T14:00:00+02:00
10195;Generación medida total tipo producción;;;29062.962;2020-05-01T15:00:00+02:00
10195;Generación medida total tipo producción;;;27747.656;2020-05-01T16:00:00+02:00
10195;Generación medida total tipo producción;;;26214.868;2020-05-01T17:00:00+02:00
10195;Generación medida total tipo producción;;;26155.336;2020-05-01T18:00:00+02:00
10195;Generación medida total tipo producción;;;25773.325;2020-05-01T19:00:00+02:00
10195;Generación medida total tipo producción;;;25414.967;2020-05-01T20:00:00+02:00
10195;Generación medida total tipo producción;;;26723.385;2020-05-01T21:00:00+02:00
10195;Generación medida total tipo producción;;;26145.442;2020-05-01T22:00:00+02:00
10195;Generación medida total tipo producción;;;25300.295;2020-05-01T23:00:00+02:00
10195;Generación medida total tipo producción;;;24519.71;2020-05-02T00:00:00+02:00
10195;Generación medida total tipo producción;;;23047.796;2020-05-02T01:00:00+02:00
10195;Generación medida total tipo producción;;;22511.093;2020-05-02T02:00:00+02:00
10195;Generación medida total tipo producción;;;22077.566;2020-05-02T03:00:00+02:00
10195;Generación medida total tipo producción;;;21912.291;2020-05-02T04:00:00+02:00
10195;Generación medida total tipo producción;;;21716.904;2020-05-02T05:00:00+02:00
10195;Generación medida total tipo producción;;;21300.529;2020-05-02T06:00:00+02:00
10195;Generación medida total tipo producción;;;21276.681;2020-05-02T07:00:00+02:00
10195;Generación medida total tipo producción;;;22192.302;2020-05-02T08:00:00+02:00
10195;Generación medida total tipo producción;;;23520.045;2020-05-02T09:00:00+02:00
10195;Generación medida total tipo producción;;;25227.394;2020-05-02T10:00:00+02:00
10195;Generación medida total tipo producción;;;27020.066;2020-05-02T11:00:00+02:00
10195;Generación medida total tipo producción;;;28028.263;2020-05-02T12:00:00+02:00
10195;Generación medida total tipo producción;;;27034.523;2020-05-02T13:00:00+02:00
10195;Generación medida total tipo producción;;;27253.979;2020-05-02T14:00:00+02:00
10195;Generación medida total tipo producción;;;26637.307;2020-05-02T15:00:00+02:00
10195;Generación medida total tipo producción;;;26448.76;2020-05-02T16:00:00+02:00
10195;Generación medida total tipo producción;;;25641.102;2020-05-02T17:00:00+02:00
10195;Generación medida total tipo producción;;;25464.819;2020-05-02T18:00:00+02:00
10195;Generación medida total tipo producción;;;24071.928;2020-05-02T19:00:00+02:00
10195;Generación medida total tipo producción;;;21653.721;2020-05-02T20:00:00+02:00
10195;Generación medida total tipo producción;;;21811.554;2020-05-02T21:00:00+02:00
10195;Generación medida total tipo producción;;;22387.147;2020-05-02T22:00:00+02:00
10195;Generación medida total tipo producción;;;21280.001;2020-05-02T23:00:00+02:00
10195;Generación medida total tipo producción;;;18024.157;2020-05-03T00:00:00+02:00
10195;Generación medida total tipo producción;;;17415.817;2020-05-03T01:00:00+02:00
10195;Generación medida total tipo producción;;;16843.221;2020-05-03T02:00:00+02:00
10195;Generación medida total tipo producción;;;16363.755;2020-05-03T03:00:00+02:00
10195;Generación medida total tipo producción;;;16271.361;2020-05-03T04:00:00+02:00
10195;Generación medida total tipo producción;;;15944.085;2020-05-03T05:00:00+02:00
10195;Generación medida total tipo producción;;;15521.535;2020-05-03T06:00:00+02:00
10195;Generación medida total tipo producción;;;15904.522;2020-05-03T07:00:00+02:00
10195;Generación medida total tipo producción;;;17084.277;2020-05-03T08:00:00+02:00
10195;Generación medida total tipo producción;;;18974.954;2020-05-03T09:00:00+02:00
10195;Generación medida total tipo producción;;;21514.026;2020-05-03T10:00:00+02:00
10195;Generación medida total tipo producción;;;22697.941;2020-05-03T11:00:00+02:00
10195;Generación medida total tipo producción;;;23426.703;2020-05-03T12:00:00+02:00
10195;Generación medida total tipo producción;;;24492.94;2020-05-03T13:00:00+02:00
10195;Generación medida total tipo producción;;;23890.318;2020-05-03T14:00:00+02:00
10195;Generación medida total tipo producción;;;23459.106;2020-05-03T15:00:00+02:00
10195;Generación medida total tipo producción;;;23437.925;2020-05-03T16:00:00+02:00
10195;Generación medida total tipo producción;;;22588.401;2020-05-03T17:00:00+02:00
10195;Generación medida total tipo producción;;;21626.866;2020-05-03T18:00:00+02:00
10195;Generación medida total tipo producción;;;21181.855;2020-05-03T19:00:00+02:00
10195;Generación medida total tipo producción;;;19611.086;2020-05-03T20:00:00+02:00
10195;Generación medida total tipo producción;;;21563.381;2020-05-03T21:00:00+02:00
10195;Generación medida total tipo producción;;;22814.305;2020-05-03T22:00:00+02:00
10195;Generación medida total tipo producción;;;22774.598;2020-05-03T23:00:00+02:00
10195;Generación medida total tipo producción;;;21081.521;2020-05-04T00:00:00+02:00
10195;Generación medida total tipo producción;;;19493.852;2020-05-04T01:00:00+02:00
10195;Generación medida total tipo producción;;;19350.081;2020-05-04T02:00:00+02:00
10195;Generación medida total tipo producción;;;19667.448;2020-05-04T03:00:00+02:00
10195;Generación medida total tipo producción;;;19602.391;2020-05-04T04:00:00+02:00
10195;Generación medida total tipo producción;;;19882.164;2020-05-04T05:00:00+02:00
10195;Generación medida total tipo producción;;;20953.568;2020-05-04T06:00:00+02:00
10195;Generación medida total tipo producción;;;21690.129;2020-05-04T07:00:00+02:00
10195;Generación medida total tipo producción;;;23189.827;2020-05-04T08:00:00+02:00
10195;Generación medida total tipo producción;;;25116.681;2020-05-04T09:00:00+02:00
10195;Generación medida total tipo producción;;;26490.676;2020-05-04T10:00:00+02:00
10195;Generación medida total tipo producción;;;27562.925;2020-05-04T11:00:00+02:00
10195;Generación medida total tipo producción;;;28884.145;2020-05-04T12:00:00+02:00
10195;Generación medida total tipo producción;;;30371.758;2020-05-04T13:00:00+02:00
10195;Generación medida total tipo producción;;;31060.034;2020-05-04T14:00:00+02:00
10195;Generación medida total tipo producción;;;31514.056;2020-05-04T15:00:00+02:00
10195;Generación medida total tipo producción;;;31109.286;2020-05-04T16:00:00+02:00
10195;Generación medida total tipo producción;;;30335.272;2020-05-04T17:00:00+02:00
10195;Generación medida total tipo producción;;;30031.945;2020-05-04T18:00:00+02:00
10195;Generación medida total tipo producción;;;29161.68;2020-05-04T19:00:00+02:00
10195;Generación medida total tipo producción;;;28981.98;2020-05-04T20:00:00+02:00
10195;Generación medida total tipo producción;;;28159.376;2020-05-04T21:00:00+02:00
10195;Generación medida total tipo producción;;;27943.596;2020-05-04T22:00:00+02:00
10195;Generación medida total tipo producción;;;26259.314;2020-05-04T23:00:00+02:00
10195;Generación medida total tipo producción;;;23825.902;2020-05-05T00:00:00+02:00
10195;Generación medida total tipo producción;;;22365.024;2020-05-05T01:00:00+02:00
10195;Generación medida total tipo producción;;;21477.768;2020-05-05T02:00:00+02:00
10195;Generación medida total tipo producción;;;20602.426;2020-05-05T03:00:00+02:00
10195;Generación medida total tipo producción;;;20378.254;2020-05-05T04:00:00+02:00
10195;Generación medida total tipo producción;;;20086.43;2020-05-05T05:00:00+02:00
10195;Generación medida total tipo producción;;;21132.47;2020-05-05T06:00:00+02:00
10195;Generación medida total tipo producción;;;21400.682;2020-05-05T07:00:00+02:00
10195;Generación medida total tipo producción;;;22399.929;2020-05-05T08:00:00+02:00
10195;Generación medida total tipo producción;;;23494.246;2020-05-05T09:00:00+02:00
10195;Generación medida total tipo producción;;;23956.616;2020-05-05T10:00:00+02:00
10195;Generación medida total tipo producción;;;25165.922;2020-05-05T11:00:00+02:00
10195;Generación medida total tipo producción;;;25156.837;2020-05-05T12:00:00+02:00
10195;Generación medida total tipo producción;;;25204.65;2020-05-05T13:00:00+02:00
10195;Generación medida total tipo producción;;;24858.727;2020-05-05T14:00:00+02:00
10195;Generación medida total tipo producción;;;24870.232;2020-05-05T15:00:00+02:00
10195;Generación medida total tipo producción;;;25446.24;2020-05-05T16:00:00+02:00
10195;Generación medida total tipo producción;;;25666.092;2020-05-05T17:00:00+02:00
10195;Generación medida total tipo producción;;;25169.61;2020-05-05T18:00:00+02:00
10195;Generación medida total tipo producción;;;25004.414;2020-05-05T19:00:00+02:00
10195;Generación medida total tipo producción;;;22954.008;2020-05-05T20:00:00+02:00
10195;Generación medida total tipo producción;;;22852.428;2020-05-05T21:00:00+02:00
10195;Generación medida total tipo producción;;;23396.999;2020-05-05T22:00:00+02:00
10195;Generación medida total tipo producción;;;21725.7;2020-05-05T23:00:00+02:00
10195;Generación medida total tipo producción;;;21005.855;2020-05-06T00:00:00+02:00
10195;Generación medida total tipo producción;;;20065.89;2020-05-06T01:00:00+02:00
10195;Generación medida total tipo producción;;;19290.811;2020-05-06T02:00:00+02:00
10195;Generación medida total tipo producción;;;18766.157;2020-05-06T03:00:00+02:00
10195;Generación medida total tipo producción;;;18354.601;2020-05-06T04:00:00+02:00
10195;Generación medida total tipo producción;;;18203.77;2020-05-06T05:00:00+02:00
10195;Generación medida total tipo producción;;;18959.243;2020-05-06T06:00:00+02:00
10195;Generación medida total tipo producción;;;20687.781;2020-05-06T07:00:00+02:00
10195;Generación medida total tipo producción;;;22718.429;2020-05-06T08:00:00+02:00
10195;Generación medida total tipo producción;;;23755.822;2020-05-06T09:00:00+02:00
10195;Generación medida total tipo producción;;;24127.841;2020-05-06T10:00:00+02:00
10195;Generación medida total tipo producción;;;24742.864;2020-05-06T11:00:00+02:00
10195;Generación medida total tipo producción;;;25254.772;2020-05-06T12:00:00+02:00
10195;Generación medida total tipo producción;;;25611.743;2020-05-06T13:00:00+02:00
10195;Generación medida total tipo producción;;;24877.552;2020-05-06T14:00:00+02:00
10195;Generación medida total tipo producción;;;23180.783;2020-05-06T15:00:00+02:00
10195;Generación medida total tipo producción;;;22714.339;2020-05-06T16:00:00+02:00
10195;Generación medida total tipo producción;;;22431.25;2020-05-06T17:00:00+02:00
10195;Generación medida total tipo producción;;;23018.941;2020-05-06T18:00:00+02:00
10195;Generación medida total tipo producción;;;24162.599;2020-05-06T19:00:00+02:00
10195;Generación medida total tipo producción;;;22343.168;2020-05-06T20:00:00+02:00
10195;Generación medida total tipo producción;;;22239.635;2020-05-06T21:00:00+02:00
10195;Generación medida total tipo producción;;;22328.341;2020-05-06T22:00:00+02:00
10195;Generación medida total tipo producción;;;21190.42;2020-05-06T23:00:00+02:00
10195;Generación medida total tipo producción;;;19858.123;2020-05-07T00:00:00+02:00
10195;Generación medida total tipo producción;;;19645.6;2020-05-07T01:00:00+02:00
10195;Generación medida total tipo producción;;;19592.294;2020-05-07T02:00:00+02:00
10195;Generación medida total tipo producción;;;19475.912;2020-05-07T03:00:00+02:00
10195;Generación medida total tipo producción;;;19520.694;2020-05-07T04:00:00+02:00
10195;Generación medida total tipo producción;;;19550.465;2020-05-07T05:00:00+02:00
10195;Generación medida total tipo producción;;;21380.118;2020-05-07T06:00:00+02:00
10195;Generación medida total tipo producción;;;22558.817;2020-05-07T07:00:00+02:00
10195;Generación medida total tipo producción;;;23575.059;2020-05-07T08:00:00+02:00
10195;Generación medida total tipo producción;;;23950.571;2020-05-07T09:00:00+02:00
10195;Generación medida total tipo producción;;;23503.402;2020-05-07T10:00:00+02:00
10195;Generación medida total tipo producción;;;25223.124;2020-05-07T11:00:00+02:00
10195;Generación medida total tipo producción;;;26005.49;2020-05-07T12:00:00+02:00
10195;Generación medida total tipo producción;;;26694.503;2020-05-07T13:00:00+02:00
10195;Generación medida total tipo producción;;;26581.009;2020-05-07T14:00:00+02:00
10195;Generación medida total tipo producción;;;26408.874;2020-05-07T15:00:00+02:00
10195;Generación medida total tipo producción;;;27111.257;2020-05-07T16:00:00+02:00
10195;Generación medida total tipo producción;;;27262.434;2020-05-07T17:00:00+02:00
10195;Generación medida total tipo producción;;;28012.139;2020-05-07T18:00:00+02:00
10195;Generación medida total tipo producción;;;27595.926;2020-05-07T19:00:00+02:00
10195;Generación medida total tipo producción;;;26247.2;2020-05-07T20:00:00+02:00
10195;Generación medida total tipo producción;;;25968.036;2020-05-07T21:00:00+02:00
10195;Generación medida total tipo producción;;;26538.206;2020-05-07T22:00:00+02:00
10195;Generación medida total tipo producción;;;25429.286;2020-05-07T23:00:00+02:00
10195;Generación medida total tipo producción;;;23411.308;2020-05-08T00:00:00+02:00
10195;Generación medida total tipo producción;;;21452.458;2020-05-08T01:00:00+02:00
10195;Generación medida total tipo producción;;;20558.494;2020-05-08T02:00:00+02:00
10195;Generación medida total tipo producción;;;19990.269;2020-05-08T03:00:00+02:00
10195;Generación medida total tipo producción;;;19804.569;2020-05-08T04:00:00+02:00
10195;Generación medida total tipo producción;;;19583.561;2020-05-08T05:00:00+02:00
10195;Generación medida total tipo producción;;;20624.105;2020-05-08T06:00:00+02:00
10195;Generación medida total tipo producción;;;20631.25;2020-05-08T07:00:00+02:00
10195;Generación medida total tipo producción;;;21442.254;2020-05-08T08:00:00+02:00
10195;Generación medida total tipo producción;;;22522.78;2020-05-08T09:00:00+02:00
