id;name;geoid;geoname;value;datetime
10195;Generación medida total tipo producción;;;25390.406;2022-06-01T00:00:00+02:00
10195;Generación medida total tipo producción;;;24225.592;2022-06-01T01:00:00+02:00
10195;Generación medida total tipo producción;;;23452.51;2022-06-01T02:00:00+02:00
10195;Generación medida total tipo producción;;;23186.25;2022-06-01T03:00:00+02:00
10195;Generación medida total tipo producción;;;23067.013;2022-06-01T04:00:00+02:00
10195;Generación medida total tipo producción;;;22863.031;2022-06-01T05:00:00+02:00
10195;Generación medida total tipo producción;;;23655.953;2022-06-01T06:00:00+02:00
10195;Generación medida total tipo producción;;;25306.639;2022-06-01T07:00:00+02:00
10195;Generación medida total tipo producción;;;27687.923;2022-06-01T08:00:00+02:00
10195;Generación medida total tipo producción;;;30082.571;2022-06-01T09:00:00+02:00
10195;Generación medida total tipo producción;;;32253.204;2022-06-01T10:00:00+02:00
10195;Generación medida total tipo producción;;;32448.516;2022-06-01T11:00:00+02:00
10195;Generación medida total tipo producción;;;33846.567;2022-06-01T12:00:00+02:00
10195;Generación medida total tipo producción;;;35352.146;2022-06-01T13:00:00+02:00
10195;Generación medida total tipo producción;;;35633.026;2022-06-01T14:00:00+02:00
10195;Generación medida total tipo producción;;;35438.894;2022-06-01T15:00:00+02:00
10195;Generación medida total tipo producción;;;35665.442;2022-06-01T16:00:00+02:00
10195;Generación medida total tipo producción;;;35415.055;2022-06-01T17:00:00+02:00
10195;Generación medida total tipo producción;;;34462.636;2022-06-01T18:00:00+02:00
10195;Generación medida total tipo producción;;;33002.349;2022-06-01T19:00:00+02:00
10195;Generación medida total tipo producción;;;30179.452;2022-06-01T20:00:00+02:00
10195;Generación medida total tipo producción;;;27812.216;2022-06-01T21:00:00+02:00
10195;Generación medida total tipo producción;;;27195.533;2022-06-01T22:00:00+02:00
10195;Generación medida total tipo producción;;;26259.338;2022-06-01T23:00:00+02:00
10195;Generación medida total tipo producción;;;24586.495;2022-06-02T00:00:00+02:00
10195;Generación medida total tipo producción;;;23896.373;2022-06-02T01:00:00+02:00
10195;Generación medida total tipo producción;;;22762.205;2022-06-02T02:00:00+02:00
10195;Generación medida total tipo producción;;;22179.473;2022-06-02T03:00:00+02:00
10195;Generación medida total tipo producción;;;21706.67;2022-06-02T04:00:00+02:00
10195;Generación medida total tipo producción;;;21358.57;2022-06-02T05:00:00+02:00
10195;Generación medida total tipo producción;;;22056.199;2022-06-02T06:00:00+02:00
