id;name;geoid;geoname;value;datetime
10195;Generación medida total tipo producción;;;26031.021;2023-07-01T00:00:00+02:00
10195;Generación medida total tipo producción;;;24883.179;2023-07-01T01:00:00+02:00
10195;Generación medida total tipo producción;;;23797.348;2023-07-01T02:00:00+02:00
10195;Generación medida total tipo producción;;;23378.556;2023-07-01T03:00:00+02:00
10195;Generación medida total tipo producción;;;22744.884;2023-07-01T04:00:00+02:00
10195;Generación medida total tipo producción;;;22168.855;2023-07-01T05:00:00+02:00
10195;Generación medida total tipo producción;;;22032.849;2023-07-01T06:00:00+02:00
10195;Generación medida total tipo producción;;;22698.684;2023-07-01T07:00:00+02:00
10195;Generación medida total tipo producción;;;24786.883;2023-07-01T08:00:00+02:00
10195;Generación medida total tipo producción;;;28221.526;2023-07-01T09:00:00+02:00
10195;Generación medida total tipo producción;;;30008.332;2023-07-01T10:00:00+02:00
10195;Generación medida total tipo producción;;;29807.08;2023-07-01T11:00:00+02:00
10195;Generación medida total tipo producción;;;30738.562;2023-07-01T12:00:00+02:00
10195;Generación medida total tipo producción;;;30848.504;2023-07-01T13:00:00+02:00
10195;Generación medida total tipo producción;;;30658.553;2023-07-01T14:00:00+02:00
10195;Generación medida total tipo producción;;;30443.258;2023-07-01T15:00:00+02:00
10195;Generación medida total tipo producción;;;30159.92;2023-07-01T16:00:00+02:00
10195;Generación medida total tipo producción;;;30484.29;2023-07-01T17:00:00+02:00
10195;Generación medida total tipo producción;;;32004.063;2023-07-01T18:00:00+02:00
10195;Generación medida total tipo producción;;;31931.445;2023-07-01T19:00:00+02:00
10195;Generación medida total tipo producción;;;29914.495;2023-07-01T20:00:00+02:00
10195;Generación medida total tipo producción;;;28712.238;2023-07-01T21:00:00+02:00
10195;Generación medida total tipo producción;;;28091.657;2023-07-01T22:00:00+02:00
10195;Generación medida total tipo producción;;;26836.312;2023-07-01T23:00:00+02:00
10195;Generación medida total tipo producción;;;25685.539;2023-07-02T00:00:00+02:00
10195;Generación medida total tipo producción;;;24711.936;2023-07-02T01:00:00+02:00
10195;Generación medida total tipo producción;;;23776.454;2023-07-02T02:00:00+02:00
10195;Generación medida total tipo producción;;;22939.942;2023-07-02T03:00:00+02:00
10195;Generación medida total tipo producción;;;22403.389;2023-07-02T04:00:00+02:00
10195;Generación medida total tipo producción;;;22034.664;2023-07-02T05:00:00+02:00
10195;Generación medida total tipo producción;;;21833.121;2023-07-02T06:00:00+02:00
10195;Generación medida total tipo producción;;;22357.248;2023-07-02T07:00:00+02:00
10195;Generación medida total tipo producción;;;24567.885;2023-07-02T08:00:00+02:00
10195;Generación medida total tipo producción;;;26752.939;2023-07-02T09:00:00+02:00
10195;Generación medida total tipo producción;;;28443.037;2023-07-02T10:00:00+02:00
10195;Generación medida total tipo producción;;;29181.493;2023-07-02T11:00:00+02:00
10195;Generación medida total tipo producción;;;30606.06;2023-07-02T12:00:00+02:00
10195;Generación medida total tipo producción;;;31456.239;2023-07-02T13:00:00+02:00
10195;Generación medida total tipo producción;;;31579.084;2023-07-02T14:00:00+02:00
10195;Generación medida total tipo producción;;;29843.772;2023-07-02T15:00:00+02:00
10195;Generación medida total tipo producción;;;29662.881;2023-07-02T16:00:00+02:00
10195;Generación medida total tipo producción;;;29435.299;2023-07-02T17:00:00+02:00
10195;Generación medida total tipo producción;;;30284.642;2023-07-02T18:00:00+02:00
10195;Generación medida total tipo producción;;;29909.492;2023-07-02T19:00:00+02:00
10195;Generación medida total tipo producción;;;28906.35;2023-07-02T20:00:00+02:00
10195;Generación medida total tipo producción;;;28569.703;2023-07-02T21:00:00+02:00
10195;Generación medida total tipo producción;;;28990.954;2023-07-02T22:00:00+02:00
10195;Generación medida total tipo producción;;;28445.687;2023-07-02T23:00:00+02:00
10195;Generación medida total tipo producción;;;27230.238;2023-07-03T00:00:00+02:00
10195;Generación medida total tipo producción;;;25414.29;2023-07-03T01:00:00+02:00
10195;Generación medida total tipo producción;;;24479.101;2023-07-03T02:00:00+02:00
