id;name;geoid;geoname;value;datetime
10195;Generación medida total tipo producción;;;21258.942;2023-10-01T00:00:00+02:00
10195;Generación medida total tipo producción;;;20615.875;2023-10-01T01:00:00+02:00
10195;Generación medida total tipo producción;;;19885.189;2023-10-01T02:00:00+02:00
10195;Generación medida total tipo producción;;;19608.758;2023-10-01T03:00:00+02:00
10195;Generación medida total tipo producción;;;19633.17;2023-10-01T04:00:00+02:00
10195;Generación medida total tipo producción;;;19534.906;2023-10-01T05:00:00+02:00
10195;Generación medida total tipo producción;;;19211.458;2023-10-01T06:00:00+02:00
10195;Generación medida total tipo producción;;;19270.961;2023-10-01T07:00:00+02:00
10195;Generación medida total tipo producción;;;20137.433;2023-10-01T08:00:00+02:00
10195;Generación medida total tipo producción;;;23652.532;2023-10-01T09:00:00+02:00
10195;Generación medida total tipo producción;;;27544.78;2023-10-01T10:00:00+02:00
10195;Generación medida total tipo producción;;;28554.611;2023-10-01T11:00:00+02:00
10195;Generación medida total tipo producción;;;28503.311;2023-10-01T12:00:00+02:00
10195;Generación medida total tipo producción;;;29266.234;2023-10-01T13:00:00+02:00
10195;Generación medida total tipo producción;;;29708.191;2023-10-01T14:00:00+02:00
10195;Generación medida total tipo producción;;;29313.754;2023-10-01T15:00:00+02:00
10195;Generación medida total tipo producción;;;29755.358;2023-10-01T16:00:00+02:00
10195;Generación medida total tipo producción;;;29513.154;2023-10-01T17:00:00+02:00
10195;Generación medida total tipo producción;;;28481.111;2023-10-01T18:00:00+02:00
10195;Generación medida total tipo producción;;;26255.908;2023-10-01T19:00:00+02:00
10195;Generación medida total tipo producción;;;25469.112;2023-10-01T20:00:00+02:00
10195;Generación medida total tipo producción;;;25406.857;2023-10-01T21:00:00+02:00
10195;Generación medida total tipo producción;;;24323.948;2023-10-01T22:00:00+02:00
10195;Generación medida total tipo producción;;;22515.478;2023-10-01T23:00:00+02:00
10195;Generación medida total tipo producción;;;21401.327;2023-10-02T00:00:00+02:00
10195;Generación medida total tipo producción;;;20404.615;2023-10-02T01:00:00+02:00
10195;Generación medida total tipo producción;;;20333.69;2023-10-02T02:00:00+02:00
10195;Generación medida total tipo producción;;;20283.493;2023-10-02T03:00:00+02:00
10195;Generación medida total tipo producción;;;20363.204;2023-10-02T04:00:00+02:00
10195;Generación medida total tipo producción;;;20712.31;2023-10-02T05:00:00+02:00
10195;Generación medida total tipo producción;;;22731.283;2023-10-02T06:00:00+02:00
10195;Generación medida total tipo producción;;;25876.631;2023-10-02T07:00:00+02:00
10195;Generación medida total tipo producción;;;26647.537;2023-10-02T08:00:00+02:00
10195;Generación medida total tipo producción;;;29256.708;2023-10-02T09:00:00+02:00
10195;Generación medida total tipo producción;;;31943.855;2023-10-02T10:00:00+02:00
10195;Generación medida total tipo producción;;;33096.065;2023-10-02T11:00:00+02:00
10195;Generación medida total tipo producción;;;33391.127;2023-10-02T12:00:00+02:00
10195;Generación medida total tipo producción;;;34496.645;2023-10-02T13:00:00+02:00
10195;Generación medida total tipo producción;;;35341.058;2023-10-02T14:00:00+02:00
10195;Generación medida total tipo producción;;;36134.684;2023-10-02T15:00:00+02:00
10195;Generación medida total tipo producción;;;36371.604;2023-10-02T16:00:00+02:00
10195;Generación medida total tipo producción;;;35615.591;2023-10-02T17:00:00+02:00
10195;Generación medida total tipo producción;;;33001.044;2023-10-02T18:00:00+02:00
10195;Generación medida total tipo producción;;;31268.318;2023-10-02T19:00:00+02:00
10195;Generación medida total tipo producción;;;30210.745;2023-10-02T20:00:00+02:00
10195;Generación medida total tipo producción;;;28967.701;2023-10-02T21:00:00+02:00
10195;Generación medida total tipo producción;;;27756.332;2023-10-02T22:00:00+02:00
10195;Generación medida total tipo producción;;;25204.134;2023-10-02T23:00:00+02:00
10195;Generación medida total tipo producción;;;23238.442;2023-10-03T00:00:00+02:00
10195;Generación medida total tipo producción;;;22044.829;2023-10-03T01:00:00+02:00
10195;Generación medida total tipo producción;;;21420.483;2023-10-03T02:00:00+02:00
10195;Generación medida total tipo producción;;;20667.073;2023-10-03T03:00:00+02:00
10195;Generación medida total tipo producción;;;20644.671;2023-10-03T04:00:00+02:00
10195;Generación medida total tipo producción;;;21033.651;2023-10-03T05:00:00+02:00
10195;Generación medida total tipo producción;;;22814.984;2023-10-03T06:00:00+02:00
10195;Generación medida total tipo producción;;;25326.493;2023-10-03T07:00:00+02:00
10195;Generación medida total tipo producción;;;26673.618;2023-10-03T08:00:00+02:00
10195;Generación medida total tipo producción;;;29764.501;2023-10-03T09:00:00+02:00
10195;Generación medida total tipo producción;;;30425.961;2023-10-03T10:00:00+02:00
10195;Generación medida total tipo producción;;;31531.335;2023-10-03T11:00:00+02:00
10195;Generación medida total tipo producción;;;31778.154;2023-10-03T12:00:00+02:00
10195;Generación medida total tipo producción;;;32298.887;2023-10-03T13:00:00+02:00
10195;Generación medida total tipo producción;;;32579.78;2023-10-03T14:00:00+02:00
10195;Generación medida total tipo producción;;;32769.31;2023-10-03T15:00:00+02:00
10195;Generación medida total tipo producción;;;32577.757;2023-10-03T16:00:00+02:00
10195;Generación medida total tipo producción;;;32767.878;2023-10-03T17:00:00+02:00
