datetime;year;month;day;hour;dayofweek;is_weekend;biogas;biomasa;ciclo_combinado;derivados_del_petroleo_o_carbon;energia_residual;eolica_terrestre;fuel;gas_natural_cogeneracion;hidraulica_no_ugh;hidraulica_ugh;hulla_antracita;hulla_sub_bituminosa;nuclear;oceano_y_geotermica;residuos_domesticos_y_similares;residuos_varios;solar_fotovoltaica;solar_termica;subproductos_mineria;termica_no_renovable;total_tipo_produccion;turbinacion_bombeo
2020-01-01 00:00:00;2020;1;1;0;2;0;8998.0;273283.0;4375106.0;125606.0;1792.0;154664.0;0.0;2366711.0;916029.0;5372416.0;16247.0;22898.0;7108765.0;3516.0;179551.0;75798.0;42.0;0.0;0.0;0.0;22885372.0;58687.0
2020-01-01 01:00:00;2020;1;1;1;2;0;90457.0;269422.0;4538635.0;1161.0;1745.0;1589363.0;0.0;2333025.0;902879.0;5238517.0;162206.0;22829.0;7104832.0;3513.0;179495.0;75892.0;9.0;0.0;0.0;0.0;22943679.0;109218.0
2020-01-01 02:00:00;2020;1;1;2;2;0;85455.0;261432.0;4177421.0;115889.0;1604.0;1661273.0;0.0;2328178.0;890059.0;4963937.0;146813.0;228016.0;710846.0;3523.0;18002.0;77181.0;107.0;0.0;0.0;0.0;22338533.0;109165.0
2020-01-01 03:00:00;2020;1;1;3;2;0;85664.0;258927.0;3939211.0;116303.0;312.0;1664442.0;0.0;2313408.0;884805.0;4541012.0;123314.0;223951.0;7105782.0;3529.0;179048.0;82335.0;142.0;0.0;0.0;0.0;21773535.0;25135.0
2020-01-01 04:00:00;2020;1;1;4;2;0;85909.0;25917.0;4163001.0;114548.0;76.0;1622625.0;0.0;2309769.0;882066.0;4578614.0;121312.0;221327.0;710664.0;3526.0;180557.0;80106.0;193.0;1049.0;0.0;0.0;22037687.0;307199.0
2020-01-01 05:00:00;2020;1;1;5;2;0;8654.0;260409.0;4144086.0;116026.0;25.0;1577422.0;0.0;230109.0;871047.0;4539016.0;121346.0;228573.0;7106048.0;3523.0;181254.0;83314.0;281.0;1122.0;0.0;0.0;21938246.0;307026.0
2020-01-01 06:00:00;2020;1;1;6;2;0;87355.0;261063.0;4446208.0;105319.0;1579.0;1541817.0;0.0;2308115.0;864245.0;4530527.0;121644.0;228022.0;7106512.0;3532.0;180592.0;8204.0;529.0;14662.0;0.0;0.0;22190404.0;306643.0
2020-01-01 07:00:00;2020;1;1;7;2;0;86295.0;264779.0;4203038.0;103552.0;1652.0;1449937.0;0.0;2305102.0;867657.0;4571074.0;121235.0;227942.0;7107211.0;3537.0;180923.0;83247.0;1307.0;16432.0;0.0;0.0;21901886.0;306966.0
2020-01-01 08:00:00;2020;1;1;8;2;0;89996.0;256506.0;3808347.0;106427.0;1716.0;1319863.0;0.0;2329709.0;8606.0;4665252.0;12063.0;227441.0;710643.0;3529.0;18077.0;84689.0;42489.0;16056.0;0.0;0.0;21527187.0;306737.0
2020-01-01 09:00:00;2020;1;1;9;2;0;91947.0;251908.0;3584282.0;107046.0;2065.0;1091994.0;0.0;2323726.0;861937.0;4672067.0;12105.0;227687.0;7107662.0;3518.0;178361.0;86116.0;812761.0;16038.0;0.0;0.0;21846907.0;306742.0
