datetime;year;month;day;hour;dayofweek;is_weekend;biogas;biomasa;ciclo_combinado;derivados_del_petroleo_o_carbon;energia_residual;eolica_terrestre;fuel;gas_natural_cogeneracion;hidraulica_no_ugh;hidraulica_ugh;hulla_antracita;hulla_sub_bituminosa;nuclear;oceano_y_geotermica;residuos_domesticos_y_similares;residuos_varios;solar_fotovoltaica;solar_termica;subproductos_mineria;termica_no_renovable;total_tipo_produccion;turbinacion_bombeo
2020-01-01 00:00:00;2020;1;1;0;2;0;89.98;273.283;4375.106;125.606;1.792;1546.64;0.0;2366.711;916.029;5372.416;162.47;228.98;7108.765;3.516;179.551;75.798;0.042;0.0;0.0;0.0;22885.372;58.687
2020-01-01 01:00:00;2020;1;1;1;2;0;90.457;269.422;4538.635;116.1;1.745;1589.363;0.0;2333.025;902.879;5238.517;162.206;228.29;7104.832;3.513;179.495;75.892;0.09;0.0;0.0;0.0;22943.679;109.218
2020-01-01 02:00:00;2020;1;1;2;2;0;85.455;261.432;4177.421;115.889;1.604;1661.273;0.0;2328.178;890.059;4963.937;146.813;228.016;7108.46;3.523;180.02;77.181;0.107;0.0;0.0;0.0;22338.533;109.165
2020-01-01 03:00:00;2020;1;1;3;2;0;85.664;258.927;3939.211;116.303;0.312;1664.442;0.0;2313.408;884.805;4541.012;123.314;223.951;7105.782;3.529;179.048;82.335;0.142;0.0;0.0;0.0;21773.535;251.35
2020-01-01 04:00:00;2020;1;1;4;2;0;85.909;259.17;4163.001;114.548;0.076;1622.625;0.0;2309.769;882.066;4578.614;121.312;221.327;7106.64;3.526;180.557;80.106;0.193;1.049;0.0;0.0;22037.687;307.199
2020-01-01 05:00:00;2020;1;1;5;2;0;86.54;260.409;4144.086;116.026;0.025;1577.422;0.0;2301.09;871.047;4539.016;121.346;228.573;7106.048;3.523;181.254;83.314;0.281;11.22;0.0;0.0;21938.246;307.026
2020-01-01 06:00:00;2020;1;1;6;2;0;87.355;261.063;4446.208;105.319;1.579;1541.817;0.0;2308.115;864.245;4530.527;121.644;228.022;7106.512;3.532;180.592;82.04;0.529;14.662;0.0;0.0;22190.404;306.643
2020-01-01 07:00:00;2020;1;1;7;2;0;86.295;264.779;4203.038;103.552;1.652;1449.937;0.0;2305.102;867.657;4571.074;121.235;227.942;7107.211;3.537;180.923;83.247;1.307;16.432;0.0;0.0;21901.886;306.966
2020-01-01 08:00:00;2020;1;1;8;2;0;89.996;256.506;3808.347;106.427;1.716;1319.863;0.0;2329.709;860.6;4665.252;120.63;227.441;7106.43;3.529;180.77;84.689;42.489;16.056;0.0;0.0;21527.187;306.737
2020-01-01 09:00:00;2020;1;1;9;2;0;91.947;251.908;3584.282;107.046;2.065;1091.994;0.0;2323.726;861.937;4672.067;121.05;227.687;7107.662;3.518;178.361;86.116;812.761;16.038;0.0;0.0;21846.907;306.742
2020-01-01 10:00:00;2020;1;1;10;2;0;92.203;246.453;3193.829;116.611;2.23;887.5;0.0;2311.308;866.133;5125.372;121.514;227.678;7107.642;3.523;178.803;83.398;2148.251;49.264;0.0;0.0;23068.286;306.574
