fecha,biogas,biomasa,ciclo_combinado,derivados_del_petroleo_o_carbon,energia_residual,eolica_terrestre,gas_natural_cogeneracion,hidraulica_no_ugh,hidraulica_ugh,hulla_antracita,hulla_sub_bituminosa,nuclear,oceano_y_geotermica,residuos_domesticos_y_similares,residuos_varios,solar_fotovoltaica,solar_termica,subproductos_mineria,turbinacion_bombeo,total_tipo_produccion,termica_no_renovable,fuel
2020-09-30 22:00:00,88.9,453.7,2629.8,325.4,0.4,7245.2,2756.3,369.7,1037.7,187.0,,6811.0,4.0,153.8,127.0,6.0,97.9,45.5,,22339.300000000003,5898.5,0.0
2020-09-30 23:00:00,86.2,453.6,2288.8,310.6,0.4,7215.3,2733.6,354.1,580.7,186.0,,6771.0,4.0,154.8,125.7,6.0,90.4,45.5,,21406.700000000004,5519.0,0.0
2020-10-01 00:00:00,85.8,453.2,2213.2,307.8,0.4,7125.3,2735.8,352.2,565.4,120.0,,6732.0,4.0,153.9,123.6,6.0,27.5,45.6,,21051.699999999997,5376.8,0.0
2020-10-01 01:00:00,83.0,448.2,2157.2,307.8,0.4,7078.7,2704.0,345.5,484.3,,,6732.0,4.0,154.8,124.9,6.0,13.6,45.8,,20690.199999999997,5169.0,0.0
2020-10-01 02:00:00,86.1,453.0,2236.8,307.8,0.4,6976.0,2706.9,352.1,514.4,,,6731.0,4.0,154.0,124.7,6.0,13.6,45.9,,20712.699999999997,5251.500000000001,0.0
2020-10-01 03:00:00,87.8,454.2,2253.8,310.9,0.4,6857.9,2739.1,359.2,601.8,,,6732.0,4.0,154.7,125.3,6.0,16.1,45.8,,20748.999999999996,5303.799999999999,0.0
2020-10-01 04:00:00,86.0,454.1,3591.9,330.6,0.4,6333.0,2790.9,383.6,1011.5,,,6735.0,4.0,154.1,125.9,6.0,18.6,45.8,19.0,22090.399999999998,6713.400000000001,0.0
2020-10-01 05:00:00,86.3,454.2,4829.4,352.9,5.4,5699.0,2831.8,430.3,3150.6,,,6737.0,4.0,135.8,120.2,13.9,3.5,45.8,749.0,25649.1,8014.099999999999,0.0
2020-10-01 06:00:00,88.3,459.8,4918.7,389.2,12.2,5404.1,2856.5,485.0,3499.7,,,6738.0,4.0,136.0,99.8,436.9,12.0,45.7,1500.5,27086.4,8164.4,0.0
2020-10-01 07:00:00,88.6,466.0,4910.7,391.3,12.2,5137.3,2837.4,494.7,3263.1,,,6737.0,4.0,136.0,101.6,2345.9,55.5,45.7,1320.9,28347.900000000005,8139.400000000001,0.0
2020-10-01 08:00:00,87.8,465.8,4906.4,391.3,12.2,5036.3,2819.9,433.0,3050.8,,,6737.0,4.0,136.1,100.6,4363.2,674.8,45.6,362.0,29626.8,8117.599999999999,0.0
2020-10-01 09:00:00,89.5,465.6,4831.3,391.3,12.2,5555.8,2815.3,440.8,2224.2,,,6736.0,4.0,136.0,100.6,5577.9,1328.0,45.8,32.0,30786.3,8037.900000000001,0.0
2020-10-01 10:00:00,90.5,464.7,4808.5,391.3,12.1,6232.6,2818.2,431.4,1753.6,,,6733.0,4.0,135.6,102.6,6077.3,1505.6,45.6,32.0,31638.6,8018.0,0.0
2020-10-01 11:00:00,90.2,465.6,4300.7,390.9,12.1,7117.0,2831.7,432.7,886.1,,,6730.0,4.0,135.6,103.6,6263.4,1444.6,45.6,32.0,31285.799999999996,7523.299999999999,0.0
2020-10-01 12:00:00,90.9,465.5,3221.0,390.9,12.1,8208.3,2826.0,425.4,655.0,,,6731.0,4.0,135.9,103.6,6164.1,1351.3,45.5,,30830.5,6437.9,0.0
2020-10-01 13:00:00,89.0,465.8,2725.0,390.9,12.1,9288.4,2814.8,420.2,570.1,,,6728.0,4.0,136.1,102.6,5834.5,1297.7,45.6,,30924.8,5930.7,0.0
2020-10-01 14:00:00,89.0,466.0,2507.5,390.9,12.1,10222.8,2823.6,413.0,560.2,,,6728.0,4.0,136.4,102.6,5219.6,1261.0,45.7,,30982.399999999998,5722.0,0.0
2020-10-01 15:00:00,90.0,465.9,2553.1,390.9,12.1,10622.2,2829.6,416.7,564.6,,,6727.0,4.0,136.3,101.6,4139.8,1152.2,45.9,,30251.9,5773.599999999999,0.0
2020-10-01 16:00:00,92.6,465.5,2565.0,398.9,12.1,10861.3,2923.1,419.6,868.1,,,6728.0,4.0,136.3,101.6,2342.9,1001.3,45.8,32.0,28998.1,5887.0,0.0
2020-10-01 17:00:00,91.9,464.9,2617.9,398.9,12.1,11150.4,2893.2,435.6,2086.0,,,6728.0,4.0,136.3,100.6,487.1,675.8,45.8,112.0,28440.499999999996,5910.0,0.0
2020-10-01 18:00:00,92.3,458.5,3177.9,397.9,12.1,11362.8,2939.9,496.9,2744.3,,,6728.0,4.0,139.7,101.9,55.6,299.1,45.8,146.0,29202.7,6515.7,0.0
2020-10-01 19:00:00,93.6,459.6,3120.3,398.1,5.3,11972.7,2944.3,499.0,2144.0,,,6730.0,4.0,139.9,102.8,8.6,219.5,45.9,151.0,29038.600000000006,6462.700000000001,0.0
2020-10-01 20:00:00,93.6,454.6,2332.0,399.6,0.4,12500.0,2941.9,405.3,965.8,,,6732.0,4.0,139.5,103.7,6.0,179.5,45.7,,27303.600000000002,5673.5,0.0
2020-10-01 21:00:00,89.1,454.6,1714.0,372.0,0.4,12924.9,2871.1,388.2,573.0,,,6733.0,4.0,139.6,101.0,6.0,119.4,45.6,,26535.9,4957.1,0.0
2020-10-01 22:00:00,85.4,454.5,351.0,310.9,0.4,14945.0,2967.3,350.3,553.4,187.0,,6691.7,4.1,135.8,156.8,6.0,18.7,45.5,,27263.8,3816.2000000000003,0.0
2020-10-01 23:00:00,83.5,453.2,100.0,306.0,0.4,15140.1,2902.4,347.1,518.8,186.0,,6693.7,4.1,136.8,157.7,6.0,20.7,45.5,,27102.0,3494.4,0.0
2020-10-02 00:00:00,83.5,450.7,,304.7,0.4,15395.5,2904.7,342.6,521.6,120.0,,6692.7,4.1,135.9,157.6,6.0,20.8,45.6,,27186.399999999998,3329.3999999999996,0.0
2020-10-02 01:00:00,85.0,431.7,,304.6,0.4,15593.4,2904.9,343.6,507.1,,,6693.7,4.1,136.8,156.4,6.0,9.7,45.8,,27223.199999999997,3209.5,0.0
2020-10-02 02:00:00,85.3,446.6,,304.6,0.4,15768.7,2890.4,343.4,497.9,,,6691.7,4.1,136.0,156.4,6.0,2.6,45.9,,27380.0,3195.0,0.0
2020-10-02 03:00:00,84.9,447.7,,304.4,0.4,15900.2,2890.2,343.6,496.6,,,6693.7,4.1,136.7,156.5,6.0,2.6,45.8,,27513.399999999998,3194.6,0.0
2020-10-02 04:00:00,82.9,453.7,,316.9,0.4,15957.1,2925.7,362.7,590.9,,,6691.7,4.1,136.2,156.4,6.0,2.6,45.8,,27733.1,3242.6,0.0
2020-10-02 05:00:00,77.0,455.8,,352.6,5.4,16104.3,2967.1,395.4,962.7,,,6694.7,4.1,138.0,156.9,65.3,3.3,45.8,,28428.399999999998,3319.7,0.0
2020-10-02 06:00:00,79.0,464.4,,381.4,12.2,15912.7,2961.0,421.5,2025.3,,,6693.7,4.1,138.0,135.2,166.1,3.4,45.7,,29443.7,3342.4,0.0
2020-10-02 07:00:00,79.7,472.8,,392.9,12.2,16472.9,2986.8,433.1,2007.9,,,6694.7,4.1,138.0,136.0,794.0,12.7,45.7,80.0,30763.5,3379.7000000000003,0.0
2020-10-02 08:00:00,84.7,472.7,,392.9,12.2,17097.5,3009.9,421.7,1566.7,,,6693.7,4.1,138.1,136.0,1476.5,52.1,45.6,80.0,31684.399999999994,3402.8,0.0
2020-10-02 09:00:00,85.0,472.6,,392.9,12.2,17577.3,2997.4,412.4,1070.3,,,6692.7,4.1,138.0,136.0,1953.9,109.7,45.8,80.0,32180.3,3390.3,0.0
2020-10-02 10:00:00,85.4,471.6,,392.9,12.1,17835.6,3045.4,414.3,971.7,,,6690.7,4.1,137.6,137.1,2337.3,130.3,45.6,80.0,32791.7,3438.3,0.0
2020-10-02 11:00:00,85.1,472.5,,392.5,12.1,17999.6,2986.5,408.8,901.6,,,6689.7,4.1,137.7,136.0,2669.3,116.7,45.6,80.0,33137.799999999996,3379.0,0.0
2020-10-02 12:00:00,85.7,475.4,,392.5,12.1,18035.7,2963.2,398.0,686.0,,,6656.7,4.1,139.9,136.4,3039.0,151.3,45.5,,33221.5,3355.7,0.0
2020-10-02 13:00:00,84.7,476.9,,380.4,12.1,17865.0,2963.9,394.2,649.7,,,6584.7,4.1,140.0,136.4,2972.6,132.3,45.6,,32842.600000000006,3344.3,0.0
2020-10-02 14:00:00,80.2,477.1,,380.4,12.1,17780.6,2959.4,395.5,638.8,,,6450.7,4.1,140.3,136.4,2927.1,140.3,45.7,,32568.699999999997,3339.8,0.0
2020-10-02 15:00:00,79.4,472.0,,380.4,12.1,17709.8,2972.0,393.2,629.7,,,6439.7,4.1,140.3,136.4,2655.4,210.9,45.9,,32281.300000000003,3352.4,0.0
2020-10-02 16:00:00,88.8,473.5,,381.5,12.1,17382.5,3044.3,405.7,642.1,,,6369.7,4.1,140.2,136.4,1518.1,179.2,45.8,,30824.0,3425.8,0.0
2020-10-02 17:00:00,88.5,473.4,,391.6,12.1,16607.2,3121.6,416.4,1170.7,,,6298.5,4.1,140.3,136.4,411.0,128.7,45.8,80.0,29526.300000000003,3513.2,0.0
2020-10-02 18:00:00,89.0,469.4,,390.6,5.3,16182.8,3133.1,434.1,2165.8,,,6228.5,4.1,154.7,140.3,100.0,16.0,45.8,240.0,29799.500000000004,3523.7,0.0
2020-10-02 19:00:00,88.8,470.5,,390.8,0.3,15983.7,3132.0,433.0,2153.3,,,6156.5,4.1,154.9,139.6,58.6,11.7,45.9,160.0,29383.700000000004,3522.8,0.0
2020-10-02 20:00:00,89.1,465.5,,389.8,0.4,16047.8,3128.1,404.7,1530.8,,,6083.5,4.1,154.5,141.0,6.0,15.7,45.7,,28506.7,3517.9,0.0
2020-10-02 21:00:00,80.9,463.4,,350.3,0.4,16072.8,3014.8,383.5,708.3,,,6054.5,4.1,154.6,140.3,6.0,11.7,45.6,,27491.2,3365.1000000000004,0.0
2020-10-02 22:00:00,77.6,466.3,,286.4,0.4,16338.6,2871.1,420.9,662.9,187.0,,6049.5,4.3,136.7,174.1,6.0,37.5,45.5,80.0,27844.8,3344.5,0.0
2020-10-02 23:00:00,77.3,462.9,,282.8,0.4,16275.1,2853.4,421.1,618.0,186.0,,6049.5,4.3,137.7,173.6,6.0,37.4,45.5,,27631.0,3322.2000000000003,0.0
2020-10-03 00:00:00,77.1,462.6,,282.8,0.4,15763.7,2841.5,417.2,583.6,120.0,,6048.5,4.3,136.9,173.3,6.0,37.3,45.6,,27000.8,3244.3,0.0
2020-10-03 01:00:00,76.8,468.0,,278.3,0.4,15408.5,2836.5,416.4,1426.5,,,6048.5,4.3,137.7,173.2,6.0,37.3,45.8,,27364.199999999997,3114.8,0.0
2020-10-03 02:00:00,76.8,467.5,,282.8,0.4,15119.5,2870.9,415.5,1408.3,,,6049.5,4.3,136.9,173.0,6.0,37.3,45.9,,27094.600000000002,3153.7000000000003,0.0
2020-10-03 03:00:00,77.4,473.6,,280.2,0.4,14851.0,2833.1,415.4,1407.6,,,6048.5,4.3,137.7,173.0,6.0,37.3,45.8,,26791.3,3113.2999999999997,0.0
2020-10-03 04:00:00,75.8,473.6,,280.0,0.4,14847.2,2795.0,416.9,688.3,,,6048.5,4.3,137.5,174.1,6.0,46.1,45.8,,26039.5,3075.0,0.0
2020-10-03 05:00:00,76.3,472.2,,281.8,0.4,14579.2,2797.3,447.2,724.2,,,6048.5,4.3,137.4,174.0,15.6,46.1,45.8,,25850.3,3079.1000000000004,0.0
2020-10-03 06:00:00,78.8,475.8,,284.9,0.4,14131.0,2825.1,450.6,846.8,,,6048.5,4.3,146.6,172.8,368.6,40.7,45.7,160.0,26080.600000000002,3110.0,0.0
2020-10-03 07:00:00,79.2,481.4,,286.2,0.4,13793.9,2814.2,475.0,913.1,,,6047.5,4.3,146.6,170.2,2331.0,62.6,45.7,160.0,27811.3,3100.3999999999996,0.0
2020-10-03 08:00:00,77.9,479.6,,286.2,0.4,13759.6,2791.4,468.0,1074.3,,,6048.5,4.3,146.6,165.3,4330.4,789.3,45.6,160.0,30627.399999999998,3077.6,0.0
2020-10-03 09:00:00,77.9,476.7,,286.2,0.3,13720.9,2772.1,463.5,949.6,,,6047.5,4.3,146.7,167.1,5489.7,1447.9,45.8,160.0,32256.2,3058.2999999999997,0.0
2020-10-03 10:00:00,77.8,475.5,,286.2,0.3,13750.5,2762.1,469.5,844.1,,,6048.5,4.3,146.9,170.7,5985.7,1594.0,45.6,160.0,32821.7,3048.2999999999997,0.0
2020-10-03 11:00:00,77.9,475.0,,285.8,0.3,14100.5,2757.8,468.0,883.3,,,6048.5,4.3,147.0,171.6,6104.9,1585.9,45.6,,33156.4,3043.6000000000004,0.0
2020-10-03 12:00:00,78.2,491.0,,274.5,0.3,14177.4,2741.0,461.6,774.1,,,6048.5,4.3,146.8,171.6,5968.2,1561.1,45.5,,32944.1,3015.5,0.0
2020-10-03 13:00:00,77.4,491.1,,272.7,0.2,13968.2,2728.4,462.6,750.2,,,6048.5,4.3,146.9,171.4,5672.4,1529.7,45.6,,32369.600000000002,3001.1,0.0
2020-10-03 14:00:00,77.6,491.1,,272.7,0.2,13857.1,2711.9,463.5,695.2,,,6048.5,4.3,147.0,171.1,5061.3,1476.4,45.7,,31523.600000000002,2984.6,0.0
2020-10-03 15:00:00,79.6,491.1,,272.7,0.3,13651.3,2755.3,461.6,881.0,,,6048.5,4.3,147.0,170.8,4077.8,1410.6,45.9,,30497.800000000003,3028.0,0.0
2020-10-03 16:00:00,80.1,495.7,,272.7,0.3,13119.9,2788.2,470.7,946.4,,,6048.5,4.3,146.9,171.6,2221.4,1246.9,45.8,,28059.399999999998,3060.8999999999996,0.0
2020-10-03 17:00:00,80.4,499.5,,272.6,0.3,12133.6,2830.0,469.8,1268.3,,,6048.5,4.3,146.7,174.7,497.7,793.6,45.8,240.0,25505.8,3102.6,0.0
2020-10-03 18:00:00,81.0,494.9,,273.0,0.3,11451.8,2911.2,477.5,1874.1,,,6049.5,4.3,146.7,175.0,101.1,377.1,45.8,1440.0,25903.3,3184.2,0.0
