value,datetime,datetime_utc,tz_time,geo_id,geo_name
204.51,2022-01-01T00:00:00.000+01:00,2021-12-31T23:00:00Z,2021-12-31T23:00:00.000Z,8743,Baleares
204.51,2022-01-01T00:00:00.000+01:00,2021-12-31T23:00:00Z,2021-12-31T23:00:00.000Z,8745,Melilla
204.51,2022-01-01T00:00:00.000+01:00,2021-12-31T23:00:00Z,2021-12-31T23:00:00.000Z,8742,Canarias
204.51,2022-01-01T00:00:00.000+01:00,2021-12-31T23:00:00Z,2021-12-31T23:00:00.000Z,8744,Ceuta
204.51,2022-01-01T00:00:00.000+01:00,2021-12-31T23:00:00Z,2021-12-31T23:00:00.000Z,8741,Península
171.35,2022-01-01T01:00:00.000+01:00,2022-01-01T00:00:00Z,2022-01-01T00:00:00.000Z,8742,Canarias
171.35,2022-01-01T01:00:00.000+01:00,2022-01-01T00:00:00Z,2022-01-01T00:00:00.000Z,8745,Melilla
171.35,2022-01-01T01:00:00.000+01:00,2022-01-01T00:00:00Z,2022-01-01T00:00:00.000Z,8741,Península
171.35,2022-01-01T01:00:00.000+01:00,2022-01-01T00:00:00Z,2022-01-01T00:00:00.000Z,8743,Baleares
171.35,2022-01-01T01:00:00.000+01:00,2022-01-01T00:00:00Z,2022-01-01T00:00:00.000Z,8744,Ceuta
172.7,2022-01-01T02:00:00.000+01:00,2022-01-01T01:00:00Z,2022-01-01T01:00:00.000Z,8741,Península
172.7,2022-01-01T02:00:00.000+01:00,2022-01-01T01:00:00Z,2022-01-01T01:00:00.000Z,8742,Canarias
172.7,2022-01-01T02:00:00.000+01:00,2022-01-01T01:00:00Z,2022-01-01T01:00:00.000Z,8744,Ceuta
172.7,2022-01-01T02:00:00.000+01:00,2022-01-01T01:00:00Z,2022-01-01T01:00:00.000Z,8745,Melilla
172.7,2022-01-01T02:00:00.000+01:00,2022-01-01T01:00:00Z,2022-01-01T01:00:00.000Z,8743,Baleares
156.07,2022-01-01T03:00:00.000+01:00,2022-01-01T02:00:00Z,2022-01-01T02:00:00.000Z,8745,Melilla
156.07,2022-01-01T03:00:00.000+01:00,2022-01-01T02:00:00Z,2022-01-01T02:00:00.000Z,8744,Ceuta
156.07,2022-01-01T03:00:00.000+01:00,2022-01-01T02:00:00Z,2022-01-01T02:00:00.000Z,8741,Península
156.07,2022-01-01T03:00:00.000+01:00,2022-01-01T02:00:00Z,2022-01-01T02:00:00.000Z,8742,Canarias
156.07,2022-01-01T03:00:00.000+01:00,2022-01-01T02:00:00Z,2022-01-01T02:00:00.000Z,8743,Baleares
159.08,2022-01-01T04:00:00.000+01:00,2022-01-01T03:00:00Z,2022-01-01T03:00:00.000Z,8743,Baleares
159.08,2022-01-01T04:00:00.000+01:00,2022-01-01T03:00:00Z,2022-01-01T03:00:00.000Z,8742,Canarias
159.08,2022-01-01T04:00:00.000+01:00,2022-01-01T03:00:00Z,2022-01-01T03:00:00.000Z,8744,Ceuta
159.08,2022-01-01T04:00:00.000+01:00,2022-01-01T03:00:00Z,2022-01-01T03:00:00.000Z,8741,Península
159.08,2022-01-01T04:00:00.000+01:00,2022-01-01T03:00:00Z,2022-01-01T03:00:00.000Z,8745,Melilla
157.28,2022-01-01T05:00:00.000+01:00,2022-01-01T04:00:00Z,2022-01-01T04:00:00.000Z,8741,Península
157.28,2022-01-01T05:00:00.000+01:00,2022-01-01T04:00:00Z,2022-01-01T04:00:00.000Z,8743,Baleares
157.28,2022-01-01T05:00:00.000+01:00,2022-01-01T04:00:00Z,2022-01-01T04:00:00.000Z,8744,Ceuta
157.28,2022-01-01T05:00:00.000+01:00,2022-01-01T04:00:00Z,2022-01-01T04:00:00.000Z,8742,Canarias
157.28,2022-01-01T05:00:00.000+01:00,2022-01-01T04:00:00Z,2022-01-01T04:00:00.000Z,8745,Melilla
158.87,2022-01-01T06:00:00.000+01:00,2022-01-01T05:00:00Z,2022-01-01T05:00:00.000Z,8742,Canarias
158.87,2022-01-01T06:00:00.000+01:00,2022-01-01T05:00:00Z,2022-01-01T05:00:00.000Z,8745,Melilla
158.87,2022-01-01T06:00:00.000+01:00,2022-01-01T05:00:00Z,2022-01-01T05:00:00.000Z,8743,Baleares
158.87,2022-01-01T06:00:00.000+01:00,2022-01-01T05:00:00Z,2022-01-01T05:00:00.000Z,8741,Península
158.87,2022-01-01T06:00:00.000+01:00,2022-01-01T05:00:00Z,2022-01-01T05:00:00.000Z,8744,Ceuta
