datetime;demand;hour
2020-01-01 00:00:00;23001.0;0.0
2020-01-01 01:00:00;22253.67;1.0
2020-01-01 02:00:00;20999.5;2.0
2020-01-01 03:00:00;19784.17;3.0
2020-01-01 04:00:00;18997.33;4.0
2020-01-01 05:00:00;18710.33;5.0
2020-01-01 06:00:00;18885.67;6.0
2020-01-01 07:00:00;19302.0;7.0
2020-01-01 08:00:00;19287.67;8.0
2020-01-01 09:00:00;19899.67;9.0
2020-01-01 10:00:00;21637.0;10.0
2020-01-01 11:00:00;23107.17;11.0
2020-01-01 12:00:00;23720.17;12.0
2020-01-01 13:00:00;24275.83;13.0
2020-01-01 14:00:00;24350.83;14.0
2020-01-01 15:00:00;23157.17;15.0
2020-01-01 16:00:00;22604.67;16.0
2020-01-01 17:00:00;22986.0;17.0
2020-01-01 18:00:00;25161.33;18.0
2020-01-01 19:00:00;26528.17;19.0
2020-01-01 20:00:00;27496.5;20.0
2020-01-01 21:00:00;27870.5;21.0
2020-01-01 22:00:00;27090.17;22.0
2020-01-01 23:00:00;24993.67;23.0
2020-01-02 00:00:00;22615.33;0.0
2020-01-02 01:00:00;20667.5;1.0
2020-01-02 02:00:00;19422.17;2.0
2020-01-02 03:00:00;18807.17;3.0
2020-01-02 04:00:00;18822.0;4.0
2020-01-02 05:00:00;19518.33;5.0
2020-01-02 06:00:00;22002.5;6.0
2020-01-02 07:00:00;25465.5;7.0
2020-01-02 08:00:00;28810.0;8.0
2020-01-02 09:00:00;31476.83;9.0
2020-01-02 10:00:00;33192.0;10.0
2020-01-02 11:00:00;33675.17;11.0
2020-01-02 12:00:00;33500.0;12.0
2020-01-02 13:00:00;33505.83;13.0
2020-01-02 14:00:00;32833.5;14.0
2020-01-02 15:00:00;31808.17;15.0
2020-01-02 16:00:00;31381.17;16.0
2020-01-02 17:00:00;31532.67;17.0
2020-01-02 18:00:00;33000.0;18.0
2020-01-02 19:00:00;33614.17;19.0
2020-01-02 20:00:00;33947.5;20.0
2020-01-02 21:00:00;33800.83;21.0
2020-01-02 22:00:00;31766.17;22.0
2020-01-02 23:00:00;28921.33;23.0
2020-01-03 00:00:00;26196.0;0.0
2020-01-03 01:00:00;23987.33;1.0
2020-01-03 02:00:00;22411.17;2.0
2020-01-03 03:00:00;21729.17;3.0
2020-01-03 04:00:00;21511.0;4.0
2020-01-03 05:00:00;22048.5;5.0
2020-01-03 06:00:00;24136.33;6.0
2020-01-03 07:00:00;27435.5;7.0
2020-01-03 08:00:00;30397.17;8.0
2020-01-03 09:00:00;32871.17;9.0
2020-01-03 10:00:00;34368.5;10.0
2020-01-03 11:00:00;34686.0;11.0
2020-01-03 12:00:00;34305.0;12.0
2020-01-03 13:00:00;34228.33;13.0
2020-01-03 14:00:00;33423.17;14.0
2020-01-03 15:00:00;32192.5;15.0
2020-01-03 16:00:00;31586.0;16.0
2020-01-03 17:00:00;31470.83;17.0
2020-01-03 18:00:00;32895.83;18.0
2020-01-03 19:00:00;33470.0;19.0
2020-01-03 20:00:00;33745.67;20.0
2020-01-03 21:00:00;33299.83;21.0
2020-01-03 22:00:00;31487.67;22.0
2020-01-03 23:00:00;28985.0;23.0
2020-01-04 00:00:00;26781.67;0.0
2020-01-04 01:00:00;24546.83;1.0
2020-01-04 02:00:00;22997.17;2.0
2020-01-04 03:00:00;22096.17;3.0
2020-01-04 04:00:00;21755.67;4.0
2020-01-04 05:00:00;21717.67;5.0
2020-01-04 06:00:00;22343.0;6.0
2020-01-04 07:00:00;23706.17;7.0
2020-01-04 08:00:00;25350.0;8.0
2020-01-04 09:00:00;27698.0;9.0
2020-01-04 10:00:00;29796.0;10.0
2020-01-04 11:00:00;30537.33;11.0
2020-01-04 12:00:00;30125.33;12.0
2020-01-04 13:00:00;30084.67;13.0
2020-01-04 14:00:00;29870.83;14.0
2020-01-04 15:00:00;28887.17;15.0
2020-01-04 16:00:00;27997.67;16.0
2020-01-04 17:00:00;27856.67;17.0
2020-01-04 18:00:00;29725.0;18.0
2020-01-04 19:00:00;30744.67;19.0
2020-01-04 20:00:00;31387.83;20.0
2020-01-04 21:00:00;31538.5;21.0
2020-01-04 22:00:00;30358.67;22.0
2020-01-04 23:00:00;28432.67;23.0
2020-01-05 00:00:00;26227.67;0.0
2020-01-05 01:00:00;23967.83;1.0
2020-01-05 02:00:00;22389.67;2.0
2020-01-05 03:00:00;21473.17;3.0
2020-01-05 04:00:00;20934.0;4.0
2020-01-05 05:00:00;20844.17;5.0
2020-01-05 06:00:00;21436.0;6.0
2020-01-05 07:00:00;22281.5;7.0
2020-01-05 08:00:00;23160.5;8.0
2020-01-05 09:00:00;25127.67;9.0
2020-01-05 10:00:00;27566.5;10.0
2020-01-05 11:00:00;28574.0;11.0
2020-01-05 12:00:00;28574.5;12.0
2020-01-05 13:00:00;28657.33;13.0
2020-01-05 14:00:00;28717.5;14.0
2020-01-05 15:00:00;27409.33;15.0
