iter	RMSE
0	72.16052437
1	71.02223929
2	69.91398595
3	68.81950669
4	67.75539455
5	66.72683552
6	65.72085746
7	64.7342121
8	63.76214083
9	62.81378001
10	61.86764798
11	60.95076941
12	60.06985437
13	59.20360285
14	58.37625513
15	57.54222905
16	56.75047388
17	55.9571668
18	55.1586945
19	54.38163237
20	53.62345142
21	52.89654555
22	52.17632885
23	51.46759074
24	50.77066215
25	50.10647438
26	49.47172268
27	48.82737818
28	48.20673513
29	47.62243959
30	47.04496145
31	46.46451538
32	45.93243692
33	45.39690884
34	44.84223753
35	44.33374952
36	43.82201398
37	43.32585132
38	42.84753265
39	42.37744658
40	41.90515257
41	41.44391384
42	40.99517767
43	40.56441851
44	40.17521994
45	39.79344549
46	39.39064905
47	38.98087993
48	38.61019352
49	38.24170199
50	37.873044
51	37.51373072
52	37.16032306
53	36.79216376
54	36.46417044
55	36.12504105
56	35.81169634
57	35.51843054
58	35.20995028
59	34.92686712
60	34.63348052
61	34.35718141
62	34.08018831
63	33.82011581
64	33.56884672
65	33.31612337
66	33.08425004
67	32.85518287
68	32.65074393
69	32.42853894
70	32.2155037
71	32.00729417
72	31.79750942
73	31.60639145
74	31.41239999
75	31.21383094
76	31.02878394
77	30.85547186
78	30.67671316
79	30.49002115
80	30.32879728
81	30.16594189
82	29.99967578
83	29.85445905
84	29.69935435
85	29.55325561
86	29.40380236
87	29.26562
88	29.12221317
89	28.99100977
90	28.864885
91	28.73298027
92	28.6133376
93	28.48291931
94	28.35799465
95	28.23717098
96	28.12366052
97	28.01307846
98	27.90676703
99	27.80267114
100	27.70103875
101	27.60150923
102	27.50642459
103	27.40586985
104	27.31600491
105	27.22771182
106	27.13886635
107	27.05428481
108	26.97677169
109	26.89651246
110	26.80828904
111	26.72579817
112	26.65294693
113	26.58262862
114	26.50906919
115	26.43583449
116	26.36596775
117	26.30116406
118	26.23543851
119	26.17205741
120	26.11011553
121	26.04882642
122	25.99279157
123	25.92774239
124	25.8693398
125	25.80906436
126	25.75611945
127	25.70411121
128	25.65016433
129	25.60274742
130	25.55087187
131	25.50370961
132	25.45230552
133	25.4071038
134	25.36225258
135	25.32103167
136	25.27859838
137	25.23681737
138	25.19574525
139	25.15521071
140	25.11264637
141	25.07558459
142	25.04174337
143	25.00084951
144	24.96740345
145	24.92390732
146	24.88743895
147	24.849226
148	24.81457382
149	24.77786391
150	24.74119776
151	24.70809323
152	24.6742917
153	24.64238651
154	24.61682811
155	24.58791607
156	24.56044321
157	24.53250254
158	24.50484056
159	24.47281635
160	24.44230169
161	24.4158738
162	24.38356016
163	24.35025619
164	24.32174812
165	24.29424288
166	24.26606178
167	24.24378761
168	24.2199181
169	24.19242014
170	24.16138116
171	24.13563772
172	24.11011017
173	24.08604063
174	24.06405526
175	24.03961492
176	24.01499813
177	23.98978599
178	23.96866451
179	23.94499906
180	23.92432788
181	23.89594121
182	23.87478653
183	23.85592055
184	23.83749139
185	23.81122017
186	23.79381827
187	23.77226919
188	23.75223681
189	23.73120922
190	23.70749295
191	23.6881203
192	23.66459597
193	23.64204237
194	23.62100176
195	23.60445162
196	23.58757203
197	23.57657076
198	23.55576719
199	23.53183871
200	23.50975973
201	23.49549924
202	23.47769488
203	23.46401944
204	23.44458369
205	23.42902987
206	23.41177639
207	23.39311269
208	23.37444479
209	23.36010929
210	23.34189919
211	23.32612129
212	23.30934596
213	23.29274182
214	23.27640904
215	23.26013916
216	23.24785072
217	23.22855842
218	23.21005753
219	23.19507034
220	23.18225315
221	23.16295738
222	23.14890178
223	23.13742104
224	23.12429558
225	23.1115687
226	23.09295937
