iter	RMSE
0	72.15453672
1	71.0588702
2	70.01551836
3	68.99845514
4	67.95957236
5	66.97837737
6	65.99890423
7	65.05616732
8	64.11691359
9	63.2063154
10	62.31612807
11	61.44241957
12	60.61769916
13	59.78758862
14	58.98120391
15	58.19587742
16	57.43242215
17	56.66695323
18	55.9342036
19	55.218733
20	54.49884514
21	53.86929828
22	53.16977759
23	52.51443588
24	51.87578889
25	51.34164581
26	50.71599621
27	50.11403139
28	49.60293656
29	49.02453389
30	48.46200106
31	47.91305876
32	47.37489515
33	46.85722962
34	46.32147729
35	45.79956789
36	45.30340994
37	44.82612122
38	44.37153563
39	43.91597055
40	43.46339399
41	43.01986396
42	42.59152632
43	42.16187937
44	41.75979331
45	41.34939115
46	40.96384433
47	40.59126179
48	40.20167289
49	39.83224661
50	39.45581449
51	39.11089278
52	38.77648504
53	38.4595194
54	38.11769869
55	37.79353126
56	37.4622825
57	37.16401889
58	36.86753866
59	36.61294609
60	36.31845801
61	36.05584111
62	35.78090486
63	35.52592498
64	35.26802613
65	35.0603687
66	34.8147318
67	34.57955843
68	34.3501669
69	34.1082178
70	33.90277919
71	33.65259251
72	33.43436882
73	33.19816794
74	32.98260489
75	32.78830964
76	32.59197384
77	32.39878436
78	32.20989475
79	32.01176884
80	31.82302243
81	31.64581499
82	31.46528695
83	31.27925315
84	31.10407283
85	30.92278005
86	30.74935505
87	30.60500263
88	30.44484563
89	30.28618348
90	30.12287339
91	29.97376198
92	29.83344641
93	29.69567812
94	29.55763198
95	29.41387903
96	29.23935483
97	29.09563493
98	28.96098975
99	28.84527848
100	28.70974578
101	28.5542466
102	28.44466722
103	28.3131352
104	28.20307163
105	28.09006501
106	27.98513389
107	27.85756098
108	27.74432156
109	27.66264565
110	27.56128248
111	27.46454986
112	27.37272333
113	27.26506426
114	27.17279218
115	27.0706083
116	26.98658437
117	26.89768855
118	26.76797993
119	26.69637883
120	26.6233525
121	26.55148628
122	26.46369802
123	26.39648931
124	26.28290223
125	26.20991677
126	26.14004464
127	26.07903264
128	25.99617477
129	25.92742061
130	25.85371369
131	25.7703896
132	25.69118489
133	25.58724668
134	25.5222761
135	25.45971713
136	25.37702123
137	25.31025774
138	25.25860477
139	25.18816999
140	25.13158297
141	25.04695774
142	24.98253087
143	24.90292655
144	24.84470714
145	24.74881827
146	24.7039542
147	24.65738836
148	24.59631888
149	24.54037752
150	24.47523134
151	24.43427854
152	24.38003024
153	24.3333126
154	24.2618463
155	24.20224496
156	24.16360955
157	24.10827474
158	24.0402591
159	23.96386708
160	23.92658099
161	23.89314615
162	23.81771271
163	23.76024943
164	23.71098516
165	23.66085505
166	23.62959092
167	23.58540398
168	23.55313507
169	23.49300426
170	23.44930956
171	23.39604816
172	23.36586739
173	23.32749408
174	23.28801495
175	23.19270097
176	23.15646015
177	23.1243346
178	23.09553369
179	23.06014397
180	23.03013423
181	22.99150582
182	22.92665927
183	22.84605176
184	22.82097097
185	22.79495629
186	22.76280825
187	22.7317606
188	22.70956231
189	22.6376415
190	22.61812444
191	22.5932002
192	22.57227633
193	22.54908698
194	22.51943114
195	22.49744842
196	22.47528529
197	22.41594191
198	22.35215649
199	22.30860437
200	22.28858326
201	22.24895478
202	22.21468375
203	22.18223901
204	22.15514799
205	22.1194719
206	22.06715992
207	21.9859864
208	21.95591644
209	21.93636926
210	21.91877823
211	21.89019381
212	21.83113011
213	21.79276693
214	21.73174285
215	21.71645
216	21.6777181
217	21.65421348
218	21.63192446
219	21.60997548
220	21.55442555
221	21.53542754
222	21.51940098
223	21.49624505
224	21.46742737
225	21.43174255
226	21.3866284
227	21.37127674
228	21.34921863
229	21.31041415
230	21.2856267
231	21.26544585
232	21.21548823
233	21.19807989
234	21.18361597
235	21.15281259
236	21.13773064
237	21.10506409
238	21.08696187
239	21.05511477
240	21.03712931
241	21.00322288
242	20.95061412
243	20.92464275
244	20.87687171
245	20.83912729
246	20.80561315
247	20.75394688
248	20.69935956
249	20.68365192
250	20.67141957
251	20.65332753
252	20.63636859
253	20.62163187
254	20.6040031
255	20.57806922
256	20.56193745
257	20.53795669
258	20.5136505
259	20.48071004
260	20.46270148
261	20.44711179
262	20.42914581
263	20.40444029
264	20.39227557
265	20.37973067
266	20.33201254
267	20.28644545
268	20.25734581
269	20.23349047
270	20.19517719
271	20.1425541
272	20.12093505
273	20.09895466
274	20.082424
275	20.05933343
276	20.04216044
277	20.0280866
278	20.01683021
279	19.99595594
280	19.94364827
281	19.92879029
282	19.89399043
283	19.84642602
284	19.83864937
285	19.82191295
286	19.810139
287	19.77433297
288	19.76269788
289	19.73887701
290	19.70906817
291	19.69530542
292	19.68064704
293	19.64644063
294	19.63534503
295	19.60023567
296	19.58061295
297	19.57047081
298	19.55698413
299	19.53261952
300	19.48628227
301	19.45729224
302	19.41291321
303	19.40415755
304	19.394667
305	19.37550365
306	19.36015345
307	19.34549106
308	19.32489987
309	19.30223147
310	19.29472363
311	19.27500857
312	19.26359693
313	19.21745995
314	19.20376574
315	19.16879216
316	19.15658895
317	19.12788321
318	19.09734238
319	19.08233799
320	19.06234542
321	19.04201908
322	19.00373305
323	18.98305663
324	18.97222058
325	18.95234146
326	18.91401428
327	18.89870878
328	18.88788742
329	18.87696062
330	18.86008283
331	18.85021153
332	18.83504481
333	18.81436116
334	18.80082681
335	18.79368076
336	18.78264252
337	18.77384074
338	18.75672894
339	18.74814723
340	18.71619064
341	18.69624773
342	18.68264487
343	18.65679827
344	18.63760778
345	18.61823684
346	18.60010822
347	18.56494509
348	18.55442538
349	18.51612728
350	18.50235926
351	18.49299438
352	18.4772659
353	18.46358029
354	18.44902602
355	18.43242219
356	18.41660186
357	18.38861651
358	18.37450128
359	18.35604046
360	18.34522176
361	18.3299822
362	18.31656422
363	18.3034037
364	18.27886377
365	18.24978503
366	18.24281458
367	18.208666
368	18.19486337
369	18.18805889
370	18.16389553
371	18.13621193
372	18.12342348
373	18.11374914
374	18.09933184
375	18.06600595
376	18.05853254
377	18.0481066
378	18.04045074
379	18.02903882
380	18.01669187
381	18.0088212
382	17.99718788
383	17.97672966
384	17.95819821
385	17.9456347
386	17.9308458
387	17.91351038
388	17.90203347
389	17.88914261
390	17.87827966
391	17.8712086
392	17.86288601
393	17.84731137
394	17.8229097
395	17.81509158
396	17.80213131
397	17.78976047
398	17.77658369
399	17.76888534
400	17.76166
401	17.74949256
402	17.73129873
403	17.72382476
404	17.70605707
405	17.69637251
406	17.68708041
407	17.66445452
408	17.65965979
409	17.65043163
410	17.64025626
411	17.62443984
412	17.59974529
413	17.57737958
414	17.55410223
415	17.5457119
416	17.53595701
417	17.51160257
418	17.5006538
419	17.49381482
420	17.48350963
421	17.46090841
422	17.45084572
423	17.43821211
424	17.43022322
425	17.41913173
426	17.41027258
427	17.40082292
428	17.39287537
429	17.38167362
430	17.37142728
431	17.35904823
432	17.35330495
433	17.33996421
434	17.33065958
435	17.3182487
436	17.31221034
437	17.29402524
438	17.28120775
439	17.2729189
440	17.26358499
441	17.24290963
442	17.23846462
443	17.22930544
