iter	Passed	Remaining
0	40	80822
1	88	88425
2	138	92253
3	201	100511
4	256	102424
5	318	105764
6	369	105201
7	416	103748
8	471	104205
9	518	103233
10	573	103653
11	625	103696
12	677	103567
13	732	103923
14	785	103987
15	838	103966
16	890	103856
17	938	103293
18	994	103669
19	1051	104057
20	1103	103997
21	1153	103741
22	1204	103518
23	1257	103508
24	1310	103540
25	1356	102953
26	1412	103193
27	1467	103336
28	1519	103258
29	1571	103216
30	1628	103412
31	1687	103784
32	1742	103869
33	1797	103916
34	1854	104134
35	1907	104061
36	1969	104475
37	2023	104469
38	2076	104422
39	2130	104374
40	2184	104376
41	2290	106776
42	2342	106620
43	2393	106387
44	2448	106364
45	2503	106326
46	2555	106172
47	2605	105942
48	2662	106008
49	2721	106123
50	2778	106192
51	2829	106013
52	2886	106044
53	2943	106061
54	2996	105962
55	3049	105861
56	3106	105897
57	3164	105947
58	3213	105712
59	3271	105767
60	3325	105717
61	3381	105706
62	3441	105797
63	3494	105700
64	3555	105837
65	3648	106924
66	3711	107072
67	3773	107225
68	3826	107074
69	3881	107029
70	3940	107064
71	3992	106909
72	4046	106810
73	4102	106776
74	4155	106662
75	4212	106636
76	4272	106690
77	4325	106589
78	4374	106367
79	4431	106345
80	4484	106235
81	4536	106112
82	4591	106040
83	4643	105922
84	4694	105761
85	4757	105871
86	4811	105797
87	4865	105716
88	4921	105664
89	4978	105660
90	5032	105577
91	5087	105502
92	5141	105436
93	5196	105375
94	5249	105258
95	5307	105265
96	5361	105175
97	5412	105043
98	5463	104904
99	5520	104884
100	5572	104767
101	5620	104594
102	5674	104509
103	5729	104457
104	5782	104356
105	5836	104278
106	5907	104508
107	5955	104326
108	6056	105068
109	6144	105572
110	6200	105523
111	6267	105659
112	6323	105595
113	6375	105482
114	6425	105322
115	6476	105184
116	6527	105052
117	6578	104919
118	6631	104827
119	6685	104737
120	6742	104709
121	6799	104664
122	6849	104530
123	6906	104483
124	6957	104369
125	7012	104294
126	7074	104338
127	7130	104282
128	7190	104296
129	7245	104226
130	7296	104100
131	7348	103986
132	7398	103857
133	7451	103761
134	7502	103643
135	7551	103498
136	7605	103422
137	7647	103191
138	7700	103095
139	7756	103046
140	7808	102953
141	7863	102887
142	7914	102775
143	7969	102721
144	8016	102562
145	8068	102454
146	8124	102412
147	8176	102310
148	8244	102417
149	8308	102472
150	8364	102424
151	8417	102333
152	8469	102242
153	8524	102177
154	8574	102068
155	8630	102020
156	8685	101961
157	8737	101857
158	8797	101860
159	8852	101804
160	8898	101643
161	8952	101571
162	9008	101527
163	9065	101487
164	9120	101428
165	9176	101384
166	9228	101289
167	9276	101156
168	9329	101083
169	9380	100976
170	9432	100886
171	9486	100818
172	9542	100777
173	9597	100716
174	9655	100689
175	9711	100644
176	9765	100575
177	9819	100512
178	9867	100379
179	9924	100348
180	9975	100251
181	10028	100171
182	10080	100090
183	10133	100015
184	10187	99951
185	10238	99851
186	10293	99801
187	10357	99833
188	10407	99729
189	10460	99651
190	10511	99557
191	10562	99459
192	10614	99381
193	10665	99289
194	10716	99195
195	10777	99199
196	10830	99124
197	10882	99046
198	10937	98985
199	10990	98913
200	11045	98857
201	11096	98765
202	11144	98655
203	11198	98590
204	11249	98497
205	11300	98412
206	11357	98380
207	11411	98317
208	11465	98255
209	11515	98152
210	11576	98152
211	11628	98075
212	11680	97996
213	11732	97913
214	11883	98661
215	11936	98583
216	11988	98500
217	12036	98388
218	12082	98261
219	12131	98152
220	12187	98104
221	12239	98026
222	12295	97974
223	12347	97899
224	12412	97921
225	12461	97817
226	12521	97797
227	12578	97762
228	12635	97720
229	12695	97703
230	12752	97656
231	12807	97605
232	12888	97742
233	12947	97718
234	13003	97662
235	13059	97612
236	13104	97482
237	13161	97441
238	13212	97355
239	13268	97301
240	13330	97297
241	13388	97258
242	13447	97233
243	13500	97160
244	13564	97169
245	13619	97110
246	13680	97089
247	13733	97022
248	13806	97088
249	13867	97070
250	13929	97062
251	13982	96987
252	14034	96909
253	14088	96844
254	14144	96789
255	14199	96732
256	14251	96655
257	14337	96803
258	14700	98814
259	14772	98864
260	14835	98848
261	14919	98970
262	14982	98956
263	15065	99068
264	15125	99031
265	15193	99041
266	15262	99063
267	15323	99030
268	15390	99038
269	15460	99059
270	15525	99053
271	15620	99234
272	15705	99355
273	15764	99305
274	15824	99263
275	15885	99226
276	15940	99156
277	15994	99073
278	16048	98991
279	16101	98908
280	16230	99290
281	16286	99222
282	16352	99212
283	16407	99138
284	16462	99066
285	16512	98961
286	16617	99185
287	16671	99105
288	16722	99006
289	16774	98911
290	16831	98848
291	16884	98762
292	16946	98728
293	17001	98657
294	17056	98578
295	17109	98494
296	17166	98431
297	17220	98353
298	17274	98271
299	17328	98193
300	17396	98192
301	17455	98144
302	17516	98106
303	17573	98043
304	17627	97963
305	17678	97868
306	17734	97799
307	17786	97710
308	17837	97614
309	17896	97566
310	17946	97467
311	18005	97414
312	18056	97322
313	18123	97312
314	18176	97227
315	18246	97238
316	18302	97169
317	18356	97095
318	18414	97035
319	18471	96972
320	18515	96844
321	18563	96738
322	18616	96657
323	18667	96564
324	18720	96484
325	18778	96427
326	18826	96321
327	18885	96267
328	18942	96207
329	19007	96187
330	19061	96115
331	19106	95994
332	19170	95968
333	19232	95931
334	19287	95863
335	19337	95766
336	19388	95677
337	19456	95671
338	19505	95572
339	19549	95449
340	19617	95442
341	19672	95369
