Precio_Real_MWh,Precio_Predicho_MWh
54.97,71.88569
60.89999999999999,61.74049
60.0,50.03864
47.5,50.712837
42.09,55.433014
37.8,54.120716
25.0,44.316093
3.9900000000000007,30.344667
13.999999999999998,20.793314
10.000000000000002,18.271463
14.54,23.758146
36.29,32.52592
44.7,41.224697
53.78,50.868774
54.230000000000004,57.965763
50.0,55.729664
52.20000000000001,45.670822
45.0,39.17764
42.99999999999999,38.16295
42.99999999999999,39.358337
40.99,41.027763
43.66,44.712555
52.20000000000001,55.220932
57.77,75.03802
62.45,83.98563
58.0,76.581635
52.830000000000005,72.09113
46.26,74.85099
40.1,69.59539
6.8,58.493023
3.2,46.607563
3.2,33.66834
3.2,24.994099
3.2,22.737452
2.2099999999999995,27.077566
4.780000000000001,34.339672
45.42,43.52675
61.92,57.791122
67.0,74.770355
63.6,81.4791
57.10000000000001,75.957245
55.0,69.04815
55.42,66.46256
61.0,72.45375
66.03,83.5433
67.52,92.50948
89.57,102.489914
94.20000000000002,114.65783
104.35,121.22082
113.26,118.117226
113.26,115.37281
94.20000000000002,112.82796
86.58,106.46915
90.39000000000001,101.893654
87.00000000000001,97.723785
80.21,89.825836
70.1,87.16124
66.86,89.69178
68.14,91.255585
86.74,94.32802
94.51000000000002,101.86793
96.0,113.21246
98.13000000000001,119.38097
95.0,115.1735
90.35,110.22133
89.0,108.965416
85.96,107.48143
92.11,112.64228
98.62000000000002,113.02892
99.5,115.355995
100.0,118.22675
102.57,122.222206
104.00000000000001,124.43011
105.17999999999999,120.96891
102.41999999999999,120.39236
99.41,117.18572
90.39000000000001,108.433975
86.08000000000001,103.466805
80.51,96.26622
77.01,82.81281
70.67,77.61423
61.099999999999994,79.20858
68.26,81.39925
75.0,82.83074
86.39,86.22876
90.88,91.34455
90.0,94.49113
76.47,88.59111
57.68,75.5265
45.86999999999999,64.183304
44.07,53.20515
40.0,44.950996
30.549999999999997,41.34698
44.37,44.079823
67.0,59.36136
75.47,85.63435
78.19,96.55971
79.94,87.81339
78.26,84.93548
75.0,89.6158
68.0,89.04126
52.49999999999999,81.28688
45.0,72.67661
44.2,59.000565
43.49999999999999,46.15337
23.99,40.823406
23.99,40.374817
30.51,41.362923
44.4,41.441963
45.8,43.741417
45.0,48.11403
25.0,44.95778
4.000000000000001,29.485878
3.2,15.906355
3.2,8.195417
3.2,5.7786283
3.2,5.0109973
25.0,6.9595375
65.0,25.083595
85.96,72.73925
92.05000000000001,102.48202
92.14000000000001,94.45874
88.0,83.94918
86.57,85.43787
79.87,94.48397
84.08,96.21208
79.82,83.76995
76.76,69.792435
73.46,62.964775
71.86,63.06184
72.08,67.24938
74.9,70.15938
77.69,72.736534
81.79,76.33386
84.86,79.54717
61.0,74.896935
55.870000000000005,58.89285
50.60000000000001,47.750496
51.77,41.655727
49.98,40.99881
45.57,44.17005
60.0,49.64445
92.05000000000001,71.76463
104.85,116.645546
103.55,128.04453
100.50000000000001,113.24443
95.89,105.70406
91.17,108.866585
83.86,106.0744
86.97,99.21515
84.18,91.57502
81.53,83.36587
78.79,83.78308
78.43,93.58581
82.1,107.71255
94.3,117.05649
111.07,131.77377
120.4,149.05579
116.98,151.12245
110.57,138.17192
103.0,127.23858
95.46000000000001,127.22938
93.87999999999998,128.97452
100.0,130.27588
107.97999999999999,134.7732
115.27,147.54076
125.17,162.91371
129.99,169.4503
130.0,165.4247
133.28,159.80719
129.47,155.98366
115.41999999999999,150.25252
107.97999999999999,146.06328
98.91999999999999,136.75452
100.0,135.56728
98.43,129.24704
98.62000000000002,128.19116
97.15,131.02267
97.53,133.76622
102.79,138.35045
108.28,147.83447
122.55000000000001,160.54283
120.75,163.31323
110.32,156.04996
107.66999999999999,148.01299
107.01,145.30998
106.48,145.55132
107.07,146.19849
114.75,149.92934
124.29,151.0278
137.35,152.32779
137.0,152.82066
138.95,152.6757
148.01,149.46927
130.0,146.14865
111.86,142.93875
106.11,137.94287
92.33,130.65675
90.12,124.81866
87.01,116.79959
85.8,114.235245
85.0,113.31084
86.3,113.976425
95.0,118.084206
103.94,127.37118
121.4,139.45819
121.4,142.12279
105.38,138.82492
102.97,134.87598
99.99,132.24364
98.5,130.32173
94.76,130.93286
94.73,131.04729
99.37,132.53304
102.7,136.4981
111.29,144.79034
121.4,148.86029
120.0,145.38252
107.70999999999998,143.3538
101.31999999999998,139.30716
92.68,131.4272
91.75000000000001,124.935616
86.18,120.310295
82.1,110.30112
80.0,106.52164
79.6,110.12634
81.1,115.1882
85.91,120.2239
102.05,128.23874
113.84,143.59895
110.0,147.82605
97.63,138.55629
86.18,128.3652
83.89,123.67451
82.18,123.070755
83.0,122.86747
85.0,124.133934
97.63,129.81361
118.5,141.36201
128.93,157.16191
132.31,157.7342
117.93,150.30905
108.33000000000001,147.03957
100.0,144.16962
93.26,137.93832
88.98,129.4066
86.45,121.81472
84.99,115.13661
83.0,114.773506
83.14,118.245026
85.0,121.87403
89.0,126.43362
102.77000000000001,135.2206
113.28000000000002,146.45934
104.99999999999999,149.87262
100.0,137.97398
94.58,123.07964
92.0,123.25339
91.78,124.97466
90.1,125.01557
92.00999999999999,127.267624
100.97999999999999,131.59254
107.10000000000001,142.89056
126.0,157.96884
119.47,160.25592
110.0,152.02866
102.26,148.42368
97.99999999999999,146.15468
95.49,138.22867
90.0,129.42783
87.48000000000002,129.00223
82.0,123.35023
78.47,118.033356
75.0,112.918045
75.0,111.090416
78.3,111.19383
85.59,114.97923
92.71,119.09038
94.83,121.839386
