hour;price;datetime
0;41.88;2020-01-01 00:00:00
1;38.6;2020-01-01 01:00:00
2;36.55;2020-01-01 02:00:00
3;32.32;2020-01-01 03:00:00
4;30.85;2020-01-01 04:00:00
5;30.14;2020-01-01 05:00:00
6;30.17;2020-01-01 06:00:00
7;30.0;2020-01-01 07:00:00
8;30.65;2020-01-01 08:00:00
9;30.65;2020-01-01 09:00:00
10;30.27;2020-01-01 10:00:00
11;30.34;2020-01-01 11:00:00
12;30.99;2020-01-01 12:00:00
13;30.04;2020-01-01 13:00:00
14;30.75;2020-01-01 14:00:00
15;32.11;2020-01-01 15:00:00
16;35.98;2020-01-01 16:00:00
17;40.4;2020-01-01 17:00:00
18;44.05;2020-01-01 18:00:00
19;46.16;2020-01-01 19:00:00
20;44.02;2020-01-01 20:00:00
21;45.6;2020-01-01 21:00:00
22;42.9;2020-01-01 22:00:00
23;37.55;2020-01-01 23:00:00
0;35.4;2020-01-02 00:00:00
24;;2020-01-02 00:00:00
1;31.98;2020-01-02 01:00:00
2;30.5;2020-01-02 02:00:00
3;28.79;2020-01-02 03:00:00
4;28.42;2020-01-02 04:00:00
5;28.75;2020-01-02 05:00:00
6;34.16;2020-01-02 06:00:00
7;42.07;2020-01-02 07:00:00
8;44.89;2020-01-02 08:00:00
9;45.26;2020-01-02 09:00:00
10;45.57;2020-01-02 10:00:00
11;45.09;2020-01-02 11:00:00
12;45.16;2020-01-02 12:00:00
13;44.9;2020-01-02 13:00:00
14;44.06;2020-01-02 14:00:00
15;43.94;2020-01-02 15:00:00
16;44.37;2020-01-02 16:00:00
17;46.05;2020-01-02 17:00:00
18;46.72;2020-01-02 18:00:00
19;46.11;2020-01-02 19:00:00
20;43.7;2020-01-02 20:00:00
21;42.0;2020-01-02 21:00:00
22;38.6;2020-01-02 22:00:00
23;33.39;2020-01-02 23:00:00
0;32.05;2020-01-03 00:00:00
24;;2020-01-03 00:00:00
1;30.75;2020-01-03 01:00:00
2;29.97;2020-01-03 02:00:00
3;29.8;2020-01-03 03:00:00
4;29.74;2020-01-03 04:00:00
5;29.87;2020-01-03 05:00:00
6;31.21;2020-01-03 06:00:00
7;36.73;2020-01-03 07:00:00
8;42.9;2020-01-03 08:00:00
9;46.0;2020-01-03 09:00:00
10;47.23;2020-01-03 10:00:00
11;46.03;2020-01-03 11:00:00
12;44.9;2020-01-03 12:00:00
13;44.44;2020-01-03 13:00:00
14;41.19;2020-01-03 14:00:00
15;39.5;2020-01-03 15:00:00
16;39.5;2020-01-03 16:00:00
17;43.51;2020-01-03 17:00:00
18;45.2;2020-01-03 18:00:00
19;46.9;2020-01-03 19:00:00
20;46.23;2020-01-03 20:00:00
21;44.5;2020-01-03 21:00:00
22;40.5;2020-01-03 22:00:00
23;39.5;2020-01-03 23:00:00
24;;2020-01-04 00:00:00
0;38.01;2020-01-04 00:00:00
1;32.05;2020-01-04 01:00:00
2;31.0;2020-01-04 02:00:00
3;30.2;2020-01-04 03:00:00
4;29.85;2020-01-04 04:00:00
5;29.84;2020-01-04 05:00:00
6;30.1;2020-01-04 06:00:00
7;30.75;2020-01-04 07:00:00
8;31.83;2020-01-04 08:00:00
9;36.67;2020-01-04 09:00:00
10;39.57;2020-01-04 10:00:00
11;36.11;2020-01-04 11:00:00
12;34.77;2020-01-04 12:00:00
13;32.07;2020-01-04 13:00:00
14;31.83;2020-01-04 14:00:00
15;31.95;2020-01-04 15:00:00
16;32.25;2020-01-04 16:00:00
17;41.81;2020-01-04 17:00:00
18;44.24;2020-01-04 18:00:00
19;44.0;2020-01-04 19:00:00
20;44.44;2020-01-04 20:00:00
21;44.43;2020-01-04 21:00:00
22;40.38;2020-01-04 22:00:00
23;37.95;2020-01-04 23:00:00
24;;2020-01-05 00:00:00
0;33.1;2020-01-05 00:00:00
1;32.28;2020-01-05 01:00:00
2;31.18;2020-01-05 02:00:00
3;30.1;2020-01-05 03:00:00
4;29.96;2020-01-05 04:00:00
5;29.88;2020-01-05 05:00:00
6;30.38;2020-01-05 06:00:00
7;31.15;2020-01-05 07:00:00
8;32.09;2020-01-05 08:00:00
9;34.27;2020-01-05 09:00:00
10;37.53;2020-01-05 10:00:00
11;38.99;2020-01-05 11:00:00
12;38.15;2020-01-05 12:00:00
13;35.37;2020-01-05 13:00:00
14;34.44;2020-01-05 14:00:00
15;36.1;2020-01-05 15:00:00
16;40.59;2020-01-05 16:00:00
17;44.68;2020-01-05 17:00:00
18;46.16;2020-01-05 18:00:00
19;48.53;2020-01-05 19:00:00
20;52.48;2020-01-05 20:00:00
21;53.29;2020-01-05 21:00:00
22;49.5;2020-01-05 22:00:00
23;46.01;2020-01-05 23:00:00
24;;2020-01-06 00:00:00
0;47.85;2020-01-06 00:00:00
1;41.48;2020-01-06 01:00:00
2;34.0;2020-01-06 02:00:00
3;31.92;2020-01-06 03:00:00
4;31.75;2020-01-06 04:00:00
5;31.5;2020-01-06 05:00:00
6;33.18;2020-01-06 06:00:00
7;43.13;2020-01-06 07:00:00
8;44.52;2020-01-06 08:00:00
9;44.96;2020-01-06 09:00:00
10;44.0;2020-01-06 10:00:00
11;42.46;2020-01-06 11:00:00
12;41.3;2020-01-06 12:00:00
13;40.51;2020-01-06 13:00:00
14;41.22;2020-01-06 14:00:00
15;43.28;2020-01-06 15:00:00
16;43.68;2020-01-06 16:00:00
17;47.9;2020-01-06 17:00:00
18;48.91;2020-01-06 18:00:00
19;49.01;2020-01-06 19:00:00
20;48.0;2020-01-06 20:00:00
21;48.0;2020-01-06 21:00:00
22;45.42;2020-01-06 22:00:00
23;44.01;2020-01-06 23:00:00
24;;2020-01-07 00:00:00
0;42.07;2020-01-07 00:00:00
1;36.49;2020-01-07 01:00:00
2;33.67;2020-01-07 02:00:00
3;33.01;2020-01-07 03:00:00
4;33.01;2020-01-07 04:00:00
5;36.07;2020-01-07 05:00:00
6;47.75;2020-01-07 06:00:00
7;53.68;2020-01-07 07:00:00
8;56.26;2020-01-07 08:00:00
9;54.87;2020-01-07 09:00:00
10;53.68;2020-01-07 10:00:00
11;52.17;2020-01-07 11:00:00
12;50.81;2020-01-07 12:00:00
13;50.31;2020-01-07 13:00:00
14;49.61;2020-01-07 14:00:00
